,county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
0,Humboldt,2020-03-29,1.0,10.0,,,0.0,0.0,18.0
1,Yuba,2020-03-29,2.0,12.0,,,2.0,4.0,2.0
2,San Joaquin,2020-03-29,34.0,35.0,,,5.0,2.0,7.0
3,Tulare,2020-03-29,6.0,13.0,,,5.0,3.0,7.0
4,Contra Costa,2020-03-29,23.0,62.0,,,8.0,15.0,62.0
5,Monterey,2020-03-29,2.0,16.0,,,1.0,2.0,10.0
6,Madera,2020-03-29,1.0,6.0,,,1.0,1.0,8.0
7,El Dorado,2020-03-29,0.0,6.0,,,0.0,3.0,3.0
8,Tuolumne,2020-03-29,1.0,5.0,,,0.0,0.0,0.0
9,Marin,2020-03-29,7.0,13.0,,,2.0,6.0,11.0
10,Riverside,2020-03-29,44.0,78.0,,,13.0,20.0,46.0
11,Kern,2020-03-29,16.0,57.0,,,8.0,8.0,39.0
12,Butte,2020-03-29,,,,,,,
13,Inyo,2020-03-29,,,,,,,
14,Calaveras,2020-03-29,,,,,,,
15,Santa Barbara,2020-03-29,15.0,21.0,,,9.0,3.0,47.0
16,Alameda,2020-03-29,36.0,91.0,,,20.0,16.0,119.0
17,Ventura,2020-03-29,24.0,85.0,,,5.0,19.0,14.0
18,Siskiyou,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
19,San Diego,2020-03-29,121.0,211.0,,,77.0,39.0,205.0
20,Fresno,2020-03-29,8.0,116.0,,,3.0,14.0,22.0
21,Santa Cruz,2020-03-29,0.0,0.0,,,0.0,0.0,
22,San Bernardino,2020-03-29,33.0,123.0,,,19.0,20.0,65.0
23,Sacramento,2020-03-29,36.0,27.0,,,12.0,18.0,50.0
24,Sutter,2020-03-29,0.0,0.0,,,0.0,0.0,
25,Orange,2020-03-29,74.0,167.0,,,31.0,40.0,131.0
26,San Mateo,2020-03-29,46.0,27.0,,,16.0,10.0,28.0
27,Trinity,2020-03-29,0.0,0.0,,,0.0,0.0,
28,Sonoma,2020-03-29,7.0,20.0,,,2.0,5.0,12.0
29,Santa Clara,2020-03-29,141.0,72.0,,,65.0,15.0,70.0
30,Tehama,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
31,Nevada,2020-03-29,23.0,,,,1.0,0.0,3.0
32,Mono,2020-03-29,0.0,1.0,,,0.0,0.0,2.0
33,Del Norte,2020-03-29,1.0,2.0,,,0.0,0.0,3.0
34,Placer,2020-03-29,18.0,14.0,,,4.0,1.0,10.0
35,Glenn,2020-03-29,,,,,,,
36,Colusa,2020-03-29,,,,,,,
37,San Benito,2020-03-29,1.0,1.0,,,1.0,0.0,1.0
38,San Francisco,2020-03-29,50.0,73.0,,,24.0,10.0,61.0
39,Napa,2020-03-29,0.0,26.0,,,,,5.0
40,Mendocino,2020-03-29,1.0,11.0,,,0.0,0.0,1.0
41,Lassen,2020-03-29,0.0,2.0,,,0.0,0.0,
42,Stanislaus,2020-03-29,20.0,48.0,,,9.0,8.0,25.0
43,Kings,2020-03-29,2.0,5.0,,,1.0,0.0,2.0
44,Solano,2020-03-29,7.0,27.0,,,4.0,1.0,28.0
45,Imperial,2020-03-29,5.0,100.0,,,1.0,2.0,2.0
46,San Luis Obispo,2020-03-29,7.0,12.0,,,3.0,4.0,948.0
47,Merced,2020-03-29,1.0,7.0,,,0.0,0.0,3.0
48,Shasta,2020-03-29,0.0,0.0,,,0.0,0.0,
49,Los Angeles,2020-03-29,489.0,1132.0,,,191.0,182.0,345.0
50,Lake,2020-03-29,0.0,1.0,,,0.0,1.0,2.0
51,Yolo,2020-03-29,2.0,3.0,,,1.0,1.0,0.0
52,Plumas,2020-03-29,0.0,1.0,,,0.0,1.0,
53,Amador,2020-03-29,1.0,0.0,,,0.0,0.0,2.0
54,Modoc,2020-03-29,0.0,0.0,,,0.0,0.0,
55,,2020-03-29,1.0,1.0,,,1.0,0.0,5.0
56,Placer,2020-03-30,19.0,19.0,,,5.0,1.0,29.0
57,Butte,2020-03-30,4.0,12.0,,,2.0,1.0,5.0
58,Mono,2020-03-30,0.0,1.0,,,0.0,0.0,2.0
59,Kings,2020-03-30,2.0,12.0,,,1.0,2.0,0.0
60,San Mateo,2020-03-30,56.0,40.0,,,18.0,11.0,47.0
61,San Francisco,2020-03-30,58.0,92.0,,,18.0,7.0,90.0
62,Madera,2020-03-30,1.0,5.0,,,1.0,3.0,4.0
63,Orange,2020-03-30,98.0,251.0,,,42.0,58.0,131.0
64,Santa Clara,2020-03-30,153.0,93.0,,,74.0,23.0,103.0
65,Nevada,2020-03-30,26.0,17.0,,,2.0,5.0,3.0
66,Yolo,2020-03-30,2.0,2.0,,,1.0,2.0,0.0
67,Trinity,2020-03-30,0.0,0.0,,,0.0,0.0,
68,,2020-03-30,5.0,10.0,,,3.0,3.0,9.0
69,Kern,2020-03-30,18.0,123.0,,,6.0,8.0,51.0
70,Modoc,2020-03-30,0.0,31.0,,,0.0,0.0,
71,Santa Barbara,2020-03-30,19.0,25.0,,,11.0,7.0,48.0
72,Plumas,2020-03-30,0.0,1.0,,,0.0,0.0,
73,Glenn,2020-03-30,0.0,0.0,,,0.0,0.0,
74,El Dorado,2020-03-30,0.0,9.0,,,0.0,6.0,9.0
75,Inyo,2020-03-30,,,,,,,
76,San Luis Obispo,2020-03-30,5.0,11.0,,,3.0,4.0,957.0
77,Shasta,2020-03-30,1.0,4.0,,,0.0,0.0,13.0
78,Amador,2020-03-30,0.0,1.0,,,0.0,0.0,4.0
79,Sonoma,2020-03-30,7.0,22.0,,,3.0,4.0,29.0
80,San Joaquin,2020-03-30,28.0,30.0,,,8.0,4.0,53.0
81,Riverside,2020-03-30,60.0,133.0,,,22.0,33.0,77.0
82,Solano,2020-03-30,15.0,16.0,,,6.0,0.0,47.0
83,Imperial,2020-03-30,19.0,109.0,,,3.0,3.0,4.0
84,Mendocino,2020-03-30,2.0,11.0,,,0.0,1.0,8.0
85,Humboldt,2020-03-30,1.0,8.0,,,0.0,0.0,10.0
86,Los Angeles,2020-03-30,601.0,1277.0,,,245.0,244.0,456.0
87,San Diego,2020-03-30,146.0,446.0,,,72.0,23.0,228.0
88,Siskiyou,2020-03-30,0.0,0.0,,,0.0,0.0,3.0
89,Lassen,2020-03-30,0.0,4.0,,,0.0,0.0,
90,San Bernardino,2020-03-30,67.0,179.0,,,27.0,33.0,66.0
91,Tuolumne,2020-03-30,1.0,2.0,,,0.0,0.0,3.0
92,Santa Cruz,2020-03-30,0.0,2.0,,,0.0,0.0,4.0
93,Sacramento,2020-03-30,45.0,86.0,,,21.0,23.0,58.0
94,Marin,2020-03-30,10.0,9.0,,,4.0,2.0,16.0
95,Ventura,2020-03-30,25.0,82.0,,,5.0,28.0,15.0
96,Sutter,2020-03-30,0.0,0.0,,,0.0,0.0,
97,Monterey,2020-03-30,11.0,16.0,,,4.0,0.0,17.0
98,Stanislaus,2020-03-30,17.0,51.0,,,9.0,5.0,29.0
99,Colusa,2020-03-30,0.0,1.0,,,0.0,1.0,5.0
100,Tulare,2020-03-30,5.0,21.0,,,4.0,6.0,7.0
101,Alameda,2020-03-30,59.0,89.0,,,27.0,18.0,146.0
102,San Benito,2020-03-30,1.0,1.0,,,1.0,0.0,1.0
103,Merced,2020-03-30,1.0,9.0,,,0.0,2.0,11.0
104,Del Norte,2020-03-30,0.0,2.0,,,0.0,0.0,5.0
105,Fresno,2020-03-30,10.0,88.0,,,3.0,14.0,24.0
106,Lake,2020-03-30,0.0,1.0,,,0.0,1.0,3.0
107,Contra Costa,2020-03-30,25.0,54.0,,,11.0,6.0,90.0
108,Calaveras,2020-03-30,0.0,3.0,,,0.0,1.0,5.0
109,Tehama,2020-03-30,0.0,2.0,,,0.0,0.0,2.0
110,Napa,2020-03-30,3.0,8.0,,,1.0,0.0,9.0
111,Yuba,2020-03-30,3.0,17.0,,,2.0,4.0,10.0
112,Sonoma,2020-03-31,8.0,18.0,,,3.0,3.0,21.0
113,Butte,2020-03-31,4.0,20.0,,,2.0,3.0,2.0
114,Kings,2020-03-31,1.0,3.0,,,1.0,2.0,4.0
115,Tulare,2020-03-31,6.0,14.0,,,4.0,5.0,9.0
116,Solano,2020-03-31,15.0,15.0,,,6.0,5.0,42.0
117,Los Angeles,2020-03-31,713.0,1239.0,,,315.0,239.0,445.0
118,Lake,2020-03-31,0.0,4.0,,,0.0,2.0,3.0
119,Tuolumne,2020-03-31,0.0,37.0,,,0.0,0.0,4.0
