,case_status,agecat,racecat,sex,cases,deaths
0,Confirmed,0-19,American Indian/Alaska Native,Female,19,0
1,Probable,0-19,American Indian/Alaska Native,Female,Suppressed,0
2,Confirmed,20-29,American Indian/Alaska Native,Female,34,0
3,Probable,20-29,American Indian/Alaska Native,Female,Suppressed,0
4,Confirmed,30-39,American Indian/Alaska Native,Female,24,0
5,Probable,30-39,American Indian/Alaska Native,Female,Suppressed,0
6,Confirmed,40-49,American Indian/Alaska Native,Female,32,0
7,Probable,40-49,American Indian/Alaska Native,Female,Suppressed,0
8,Confirmed,50-59,American Indian/Alaska Native,Female,36,0
9,Probable,50-59,American Indian/Alaska Native,Female,Suppressed,0
10,Confirmed,60-69,American Indian/Alaska Native,Female,17,Suppressed
11,Probable,60-69,American Indian/Alaska Native,Female,Suppressed,0
12,Confirmed,70-79,American Indian/Alaska Native,Female,13,Suppressed
13,Probable,70-79,American Indian/Alaska Native,Female,Suppressed,0
14,Confirmed,80+,American Indian/Alaska Native,Female,Suppressed,Suppressed
15,Probable,80+,American Indian/Alaska Native,Female,0,0
16,Confirmed,Unknown,American Indian/Alaska Native,Female,0,0
17,Probable,Unknown,American Indian/Alaska Native,Female,0,0
18,Confirmed,0-19,Asian/Pacific Islander,Female,46,0
19,Probable,0-19,Asian/Pacific Islander,Female,16,0
20,Confirmed,20-29,Asian/Pacific Islander,Female,127,0
21,Probable,20-29,Asian/Pacific Islander,Female,20,0
22,Confirmed,30-39,Asian/Pacific Islander,Female,176,0
23,Probable,30-39,Asian/Pacific Islander,Female,18,0
24,Confirmed,40-49,Asian/Pacific Islander,Female,168,0
25,Probable,40-49,Asian/Pacific Islander,Female,6,0
26,Confirmed,50-59,Asian/Pacific Islander,Female,144,Suppressed
27,Probable,50-59,Asian/Pacific Islander,Female,11,0
28,Confirmed,60-69,Asian/Pacific Islander,Female,89,Suppressed
29,Probable,60-69,Asian/Pacific Islander,Female,Suppressed,0
30,Confirmed,70-79,Asian/Pacific Islander,Female,43,10
31,Probable,70-79,Asian/Pacific Islander,Female,Suppressed,0
32,Confirmed,80+,Asian/Pacific Islander,Female,52,22
33,Probable,80+,Asian/Pacific Islander,Female,0,0
34,Confirmed,Unknown,Asian/Pacific Islander,Female,0,0
35,Probable,Unknown,Asian/Pacific Islander,Female,Suppressed,0
36,Confirmed,0-19,Black/African American,Female,511,Suppressed
37,Probable,0-19,Black/African American,Female,53,0
38,Confirmed,20-29,Black/African American,Female,1770,Suppressed
39,Probable,20-29,Black/African American,Female,106,0
40,Confirmed,30-39,Black/African American,Female,1840,8
41,Probable,30-39,Black/African American,Female,88,0
42,Confirmed,40-49,Black/African American,Female,1987,51
43,Probable,40-49,Black/African American,Female,115,Suppressed
44,Confirmed,50-59,Black/African American,Female,1921,104
45,Probable,50-59,Black/African American,Female,120,6
46,Confirmed,60-69,Black/African American,Female,1784,222
47,Probable,60-69,Black/African American,Female,107,11
48,Confirmed,70-79,Black/African American,Female,1236,302
49,Probable,70-79,Black/African American,Female,42,8
50,Confirmed,80+,Black/African American,Female,994,411
51,Probable,80+,Black/African American,Female,26,18
52,Confirmed,Unknown,Black/African American,Female,0,0
53,Probable,Unknown,Black/African American,Female,Suppressed,0
54,Confirmed,0-19,Multiple Races,Female,210,0
55,Probable,0-19,Multiple Races,Female,22,0
56,Confirmed,20-29,Multiple Races,Female,567,0
57,Probable,20-29,Multiple Races,Female,35,0
58,Confirmed,30-39,Multiple Races,Female,493,0
59,Probable,30-39,Multiple Races,Female,20,0
60,Confirmed,40-49,Multiple Races,Female,601,Suppressed
61,Probable,40-49,Multiple Races,Female,46,0
62,Confirmed,50-59,Multiple Races,Female,623,Suppressed
63,Probable,50-59,Multiple Races,Female,49,0
64,Confirmed,60-69,Multiple Races,Female,397,Suppressed
65,Probable,60-69,Multiple Races,Female,34,0
66,Confirmed,70-79,Multiple Races,Female,175,11
67,Probable,70-79,Multiple Races,Female,9,0
68,Confirmed,80+,Multiple Races,Female,180,19
69,Probable,80+,Multiple Races,Female,Suppressed,Suppressed
70,Confirmed,Unknown,Multiple Races,Female,Suppressed,0
71,Probable,Unknown,Multiple Races,Female,Suppressed,0
72,Confirmed,0-19,Other,Female,346,0
73,Probable,0-19,Other,Female,41,0
74,Confirmed,20-29,Other,Female,561,0
75,Probable,20-29,Other,Female,26,0
76,Confirmed,30-39,Other,Female,446,Suppressed
77,Probable,30-39,Other,Female,31,0
78,Confirmed,40-49,Other,Female,450,Suppressed
79,Probable,40-49,Other,Female,25,0
80,Confirmed,50-59,Other,Female,307,Suppressed
81,Probable,50-59,Other,Female,21,Suppressed
82,Confirmed,60-69,Other,Female,197,12
83,Probable,60-69,Other,Female,15,Suppressed
84,Confirmed,70-79,Other,Female,99,14
85,Probable,70-79,Other,Female,7,0
86,Confirmed,80+,Other,Female,96,20
87,Probable,80+,Other,Female,Suppressed,0
88,Confirmed,Unknown,Other,Female,Suppressed,0
89,Probable,Unknown,Other,Female,Suppressed,0
90,Confirmed,0-19,Unknown,Female,490,0
91,Probable,0-19,Unknown,Female,143,0
92,Confirmed,20-29,Unknown,Female,979,0
93,Probable,20-29,Unknown,Female,296,0
94,Confirmed,30-39,Unknown,Female,850,0
95,Probable,30-39,Unknown,Female,271,0
96,Confirmed,40-49,Unknown,Female,993,Suppressed
97,Probable,40-49,Unknown,Female,355,0
98,Confirmed,50-59,Unknown,Female,994,6
99,Probable,50-59,Unknown,Female,382,0
100,Confirmed,60-69,Unknown,Female,744,16
101,Probable,60-69,Unknown,Female,316,Suppressed
102,Confirmed,70-79,Unknown,Female,464,27
103,Probable,70-79,Unknown,Female,135,0
104,Confirmed,80+,Unknown,Female,527,48
105,Probable,80+,Unknown,Female,70,Suppressed
106,Confirmed,Unknown,Unknown,Female,7,0
107,Probable,Unknown,Unknown,Female,23,0
108,Confirmed,0-19,White,Female,1321,0
109,Probable,0-19,White,Female,246,0
110,Confirmed,20-29,White,Female,3207,Suppressed
111,Probable,20-29,White,Female,285,0
112,Confirmed,30-39,White,Female,2329,7
113,Probable,30-39,White,Female,236,0
114,Confirmed,40-49,White,Female,2342,20
115,Probable,40-49,White,Female,277,Suppressed
116,Confirmed,50-59,White,Female,2698,63
117,Probable,50-59,White,Female,327,Suppressed
118,Confirmed,60-69,White,Female,2220,159
119,Probable,60-69,White,Female,223,15
120,Confirmed,70-79,White,Female,1704,355
121,Probable,70-79,White,Female,112,16
122,Confirmed,80+,White,Female,2804,1014
123,Probable,80+,White,Female,85,39
124,Confirmed,Unknown,White,Female,12,0
125,Probable,Unknown,White,Female,25,0
126,Confirmed,0-19,American Indian/Alaska Native,Male,8,0
127,Probable,0-19,American Indian/Alaska Native,Male,0,0
128,Confirmed,20-29,American Indian/Alaska Native,Male,20,0
129,Probable,20-29,American Indian/Alaska Native,Male,Suppressed,0
130,Confirmed,30-39,American Indian/Alaska Native,Male,28,0
131,Probable,30-39,American Indian/Alaska Native,Male,0,0
132,Confirmed,40-49,American Indian/Alaska Native,Male,33,0
133,Probable,40-49,American Indian/Alaska Native,Male,Suppressed,0
134,Confirmed,50-59,American Indian/Alaska Native,Male,31,Suppressed
135,Probable,50-59,American Indian/Alaska Native,Male,Suppressed,0
136,Confirmed,60-69,American Indian/Alaska Native,Male,22,Suppressed
137,Probable,60-69,American Indian/Alaska Native,Male,Suppressed,0
138,Confirmed,70-79,American Indian/Alaska Native,Male,14,6
139,Probable,70-79,American Indian/Alaska Native,Male,0,0
