,DIAGNOSIS_DATE,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/2/20,1,,
1,3/3/20,2,3.0,
2,3/4/20,9,3.0,
3,3/5/20,1,4.0,
4,3/6/20,8,5.0,
5,3/7/20,11,9.0,
6,3/8/20,20,13.0,
7,3/9/20,53,25.0,
8,3/10/20,69,42.0,
9,3/11/20,155,53.0,
10,3/12/20,350,69.0,
11,3/13/20,603,123.0,1.0
12,3/14/20,601,160.0,2.0
13,3/15/20,975,193.0,5.0
14,3/16/20,1913,290.0,9.0
15,3/17/20,2163,315.0,7.0
16,3/18/20,2371,355.0,16.0
17,3/19/20,2401,434.0,19.0
18,3/20/20,2594,492.0,37.0
19,3/21/20,1388,415.0,30.0
20,3/22/20,1266,415.0,33.0
21,3/23/20,1707,361.0,49.0
22,3/24/20,1328,137.0,53.0
23,3/25/20,21,,18.0
