,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/2/20,1,3,
1,3/3/20,2,3,
2,3/4/20,10,5,
3,3/5/20,2,4,
4,3/6/20,8,5,
5,3/7/20,13,9,
6,3/8/20,20,12,
7,3/9/20,53,24,
8,3/10/20,71,38,
9,3/11/20,156,57,1.0
10,3/12/20,357,62,
11,3/13/20,614,123,
12,3/14/20,630,149,2.0
13,3/15/20,1009,191,5.0
14,3/16/20,2033,305,9.0
15,3/17/20,2337,326,7.0
16,3/18/20,2799,395,21.0
17,3/19/20,3465,487,25.0
18,3/20/20,3699,557,43.0
19,3/21/20,2179,554,34.0
20,3/22/20,2062,584,44.0
21,3/23/20,3115,793,77.0
22,3/24/20,3534,780,84.0
23,3/25/20,3844,855,106.0
24,3/26/20,3982,882,156.0
25,3/27/20,4046,904,167.0
26,3/28/20,2673,753,191.0
27,3/29/20,2714,846,215.0
28,3/30/20,4374,984,220.0
29,3/31/20,3735,848,262.0
30,4/1/20,3823,944,225.0
31,4/2/20,4461,1014,225.0
32,4/3/20,3711,994,217.0
33,4/4/20,2112,679,190.0
34,4/5/20,1054,139,184.0
35,4/6/20,75,1,26.0
