,Retrieving data. Wait a few seconds and try to cut or copy again.,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/2/20,1,12.0,
1,3/3/20,3,10.0,
2,3/4/20,10,13.0,
3,3/5/20,2,17.0,
4,3/6/20,8,17.0,
5,3/7/20,14,9.0,
6,3/8/20,21,15.0,
7,3/9/20,54,36.0,
8,3/10/20,75,48.0,
9,3/11/20,157,72.0,1.0
10,3/12/20,358,75.0,1.0
11,3/13/20,621,138.0,
12,3/14/20,644,151.0,2.0
13,3/15/20,1028,186.0,6.0
14,3/16/20,2106,301.0,9.0
15,3/17/20,2391,342.0,7.0
16,3/18/20,2895,435.0,21.0
17,3/19/20,3580,512.0,25.0
18,3/20/20,3820,605.0,45.0
19,3/21/20,2478,642.0,36.0
20,3/22/20,2414,677.0,45.0
21,3/23/20,3291,975.0,80.0
22,3/24/20,4135,1045.0,90.0
23,3/25/20,4501,1213.0,113.0
24,3/26/20,4648,1314.0,173.0
25,3/27/20,4712,1268.0,184.0
26,3/28/20,3196,1224.0,236.0
27,3/29/20,3218,1289.0,255.0
28,3/30/20,5695,1564.0,277.0
29,3/31/20,4960,1443.0,329.0
30,4/1/20,4864,1437.0,366.0
31,4/2/20,5520,1627.0,399.0
32,4/3/20,5369,1638.0,421.0
33,4/4/20,3655,1351.0,421.0
34,4/5/20,3523,1337.0,472.0
35,4/6/20,6021,1609.0,463.0
36,4/7/20,5545,1371.0,487.0
37,4/8/20,4974,1249.0,411.0
38,4/9/20,3991,884.0,363.0
39,4/10/20,3307,680.0,328.0
40,4/11/20,1740,216.0,283.0
41,4/12/20,1053,112.0,241.0
42,4/13/20,797,10.0,156.0
43,4/14/20,26,,43.0
