,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/3/20,1,6.0,
1,3/4/20,5,10.0,
2,3/5/20,3,15.0,
3,3/6/20,7,11.0,
4,3/7/20,7,10.0,
5,3/8/20,21,15.0,
6,3/9/20,57,36.0,
7,3/10/20,70,47.0,
8,3/11/20,153,71.0,1.0
9,3/12/20,355,76.0,1.0
10,3/13/20,616,138.0,
11,3/14/20,636,155.0,2.0
12,3/15/20,1023,187.0,6.0
13,3/16/20,2104,301.0,9.0
14,3/17/20,2390,342.0,7.0
15,3/18/20,2934,443.0,21.0
16,3/19/20,3660,537.0,25.0
17,3/20/20,3960,632.0,46.0
18,3/21/20,2594,668.0,41.0
19,3/22/20,2543,706.0,48.0
20,3/23/20,3489,1015.0,81.0
21,3/24/20,4373,1129.0,92.0
22,3/25/20,4711,1261.0,120.0
23,3/26/20,4879,1368.0,185.0
24,3/27/20,4973,1338.0,206.0
25,3/28/20,3365,1257.0,260.0
26,3/29/20,3424,1358.0,276.0
27,3/30/20,5987,1629.0,300.0
28,3/31/20,5148,1464.0,360.0
29,4/1/20,4915,1442.0,401.0
30,4/2/20,5547,1615.0,438.0
31,4/3/20,5414,1628.0,444.0
32,4/4/20,3689,1362.0,453.0
33,4/5/20,3575,1348.0,511.0
34,4/6/20,6161,1627.0,517.0
35,4/7/20,5834,1383.0,538.0
36,4/8/20,5343,1320.0,462.0
37,4/9/20,4826,1069.0,450.0
38,4/10/20,4182,986.0,429.0
39,4/11/20,3488,760.0,423.0
40,4/12/20,2609,748.0,423.0
41,4/13/20,3009,870.0,418.0
42,4/14/20,3762,775.0,350.0
43,4/15/20,3227,622.0,298.0
44,4/16/20,2460,458.0,251.0
45,4/17/20,2155,383.0,223.0
46,4/18/20,808,150.0,178.0
47,4/19/20,358,14.0,90.0
48,4/20/20,21,,12.0
