,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,3/3/20,2,7,
1,3/4/20,5,10,
2,3/5/20,3,14,
3,3/6/20,7,11,
4,3/7/20,7,10,
5,3/8/20,21,15,
6,3/9/20,57,36,
7,3/10/20,70,46,
8,3/11/20,153,70,1.0
9,3/12/20,355,75,1.0
10,3/13/20,617,136,
11,3/14/20,639,151,2.0
12,3/15/20,1025,188,6.0
13,3/16/20,2112,299,9.0
14,3/17/20,2439,339,7.0
15,3/18/20,2946,442,21.0
16,3/19/20,3668,536,25.0
17,3/20/20,3974,624,46.0
18,3/21/20,2596,666,41.0
19,3/22/20,2542,696,48.0
20,3/23/20,3495,1029,81.0
21,3/24/20,4380,1141,92.0
22,3/25/20,4718,1263,121.0
23,3/26/20,4898,1389,185.0
24,3/27/20,4976,1352,207.0
25,3/28/20,3367,1278,262.0
26,3/29/20,3425,1366,277.0
27,3/30/20,5991,1652,305.0
28,3/31/20,5153,1510,364.0
29,4/1/20,5006,1471,412.0
30,4/2/20,5630,1637,446.0
31,4/3/20,5486,1640,454.0
32,4/4/20,3743,1395,470.0
33,4/5/20,3596,1404,524.0
34,4/6/20,6202,1735,539.0
35,4/7/20,5895,1567,556.0
36,4/8/20,5387,1494,501.0
37,4/9/20,4845,1256,505.0
38,4/10/20,4210,1174,478.0
39,4/11/20,3544,947,479.0
40,4/12/20,2702,906,494.0
41,4/13/20,3203,1029,487.0
42,4/14/20,4036,919,454.0
43,4/15/20,3766,734,388.0
44,4/16/20,3410,568,339.0
45,4/17/20,3446,577,309.0
46,4/18/20,2059,405,301.0
47,4/19/20,2259,387,293.0
48,4/20/20,3634,419,275.0
49,4/21/20,2889,409,226.0
50,4/22/20,3278,337,218.0
51,4/23/20,2455,271,203.0
52,4/24/20,1958,264,145.0
53,4/25/20,1050,94,80.0
54,4/26/20,354,16,68.0
55,4/27/20,27,1,10.0
