,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,02/29/2020,1,11,0
1,03/01/2020,0,4,0
2,03/02/2020,0,22,0
3,03/03/2020,2,20,0
4,03/04/2020,5,22,0
5,03/05/2020,3,20,0
6,03/06/2020,8,18,0
7,03/07/2020,7,15,0
8,03/08/2020,21,18,0
9,03/09/2020,58,49,0
10,03/10/2020,70,63,0
11,03/11/2020,154,90,1
12,03/12/2020,357,92,0
13,03/13/2020,620,157,0
14,03/14/2020,644,159,2
15,03/15/2020,1035,189,5
16,03/16/2020,2123,317,8
17,03/17/2020,2455,360,8
18,03/18/2020,2985,474,21
19,03/19/2020,3713,560,24
20,03/20/2020,4014,665,47
21,03/21/2020,2640,701,44
22,03/22/2020,2582,725,50
23,03/23/2020,3571,1038,82
24,03/24/2020,4507,1152,95
25,03/25/2020,4853,1299,123
26,03/26/2020,5046,1456,190
27,03/27/2020,5129,1394,218
28,03/28/2020,3479,1366,273
29,03/29/2020,3559,1406,291
30,03/30/2020,6128,1717,328
31,03/31/2020,5473,1695,383
32,04/01/2020,5462,1585,446
33,04/02/2020,5767,1614,499
34,04/03/2020,5676,1598,498
35,04/04/2020,3867,1342,510
36,04/05/2020,3793,1328,581
37,04/06/2020,6377,1723,574
38,04/07/2020,6065,1604,598
39,04/08/2020,5586,1539,568
40,04/09/2020,5074,1428,560
41,04/10/2020,4520,1337,539
42,04/11/2020,3733,1097,542
43,04/12/2020,2888,996,573
44,04/13/2020,3311,1212,570
45,04/14/2020,4146,1087,512
46,04/15/2020,3876,982,454
47,04/16/2020,3525,882,413
48,04/17/2020,3580,903,384
49,04/18/2020,2169,661,391
50,04/19/2020,2346,595,398
51,04/20/2020,3786,722,365
52,04/21/2020,3062,660,322
53,04/22/2020,3458,599,312
54,04/23/2020,2843,533,332
55,04/24/2020,2538,551,316
56,04/25/2020,1594,403,264
57,04/26/2020,1003,375,247
58,04/27/2020,2289,443,272
59,04/28/2020,2727,442,228
60,04/29/2020,2340,407,240
61,04/30/2020,2019,343,222
62,05/01/2020,1884,349,209
63,05/02/2020,1057,261,192
64,05/03/2020,784,255,178
65,05/04/2020,1546,310,159
66,05/05/2020,1513,283,151
67,05/06/2020,1401,257,150
68,05/07/2020,1231,252,142
69,05/08/2020,1086,253,131
70,05/09/2020,660,182,100
71,05/10/2020,459,152,102
72,05/11/2020,1233,246,103
73,05/12/2020,1285,201,91
74,05/13/2020,1334,223,82
75,05/14/2020,1111,215,70
76,05/15/2020,871,227,86
77,05/16/2020,489,164,83
78,05/17/2020,360,122,77
79,05/18/2020,901,175,57
80,05/19/2020,1006,201,54
81,05/20/2020,1070,166,81
82,05/21/2020,1069,172,45
83,05/22/2020,1061,193,64
84,05/23/2020,464,128,60
85,05/24/2020,479,119,49
86,05/25/2020,466,140,49
87,05/26/2020,1053,149,37
88,05/27/2020,754,159,49
89,05/28/2020,635,140,38
90,05/29/2020,650,158,43
91,05/30/2020,347,95,53
92,05/31/2020,216,91,39
93,06/01/2020,666,124,34
94,06/02/2020,574,123,38
95,06/03/2020,512,115,42
96,06/04/2020,510,89,32
97,06/05/2020,407,64,26
98,06/06/2020,247,47,35
99,06/07/2020,197,45,24
100,06/08/2020,444,62,41
101,06/09/2020,424,50,32
102,06/10/2020,365,46,31
103,06/11/2020,355,41,21
104,06/12/2020,406,52,23
105,06/13/2020,196,29,14
106,06/14/2020,182,41,24
107,06/15/2020,376,49,20
108,06/16/2020,419,48,20
109,06/17/2020,350,42,20
110,06/18/2020,370,40,16
111,06/19/2020,352,40,17
112,06/20/2020,204,26,18
113,06/21/2020,172,33,28
114,06/22/2020,392,42,26
115,06/23/2020,376,42,26
116,06/24/2020,378,36,24
117,06/25/2020,294,36,19
118,06/26/2020,310,36,21
119,06/27/2020,201,34,21
120,06/28/2020,188,31,18
121,06/29/2020,416,39,24
122,06/30/2020,372,35,21
123,07/01/2020,288,29,8
124,07/02/2020,275,30,22
125,07/03/2020,114,23,14
126,07/04/2020,73,22,5
127,07/05/2020,87,22,8
128,07/06/2020,196,38,4
129,07/07/2020,118,15,4
130,07/08/2020,9,2,0
