Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
5/4/2020,Chesapeake,0-9,2,1,0
5/4/2020,Peninsula,50-59,70,15,2
5/4/2020,Cumberland Plateau,Missing,0,0,0
5/4/2020,Peninsula,60-69,84,24,3
5/4/2020,Lord Fairfax,30-39,71,6,0
5/4/2020,Virginia Beach,Missing,0,0,0
5/4/2020,Arlington,40-49,177,25,2
5/4/2020,West Piedmont,10-19,2,0,0
5/4/2020,Chickahominy,70-79,24,9,3
5/4/2020,Pittsylvania-Danville,20-29,7,0,0
5/4/2020,Loudoun,50-59,198,17,1
5/4/2020,Richmond,30-39,62,4,0
5/4/2020,Thomas Jefferson,Missing,0,0,0
5/4/2020,Rappahannock Rapidan,80+,10,7,4
5/4/2020,Lord Fairfax,Missing,1,0,0
5/4/2020,Cumberland Plateau,50-59,3,1,0
5/4/2020,Loudoun,Missing,0,0,0
5/4/2020,Southside,50-59,19,3,0
5/4/2020,Chesterfield,20-29,65,3,0
5/4/2020,Norfolk,70-79,12,9,1
5/4/2020,Alleghany,10-19,1,0,0
5/4/2020,Crater,80+,17,4,0
5/4/2020,Portsmouth,Missing,0,0,0
5/4/2020,Western Tidewater,10-19,1,0,0
5/4/2020,Chesterfield,10-19,44,0,0
5/4/2020,Southside,60-69,18,6,1
5/4/2020,Virginia Beach,0-9,2,0,0
5/4/2020,Lenowisco,50-59,10,3,0
5/4/2020,Chesapeake,70-79,25,13,0
5/4/2020,Western Tidewater,80+,101,17,10
5/4/2020,Thomas Jefferson,10-19,6,0,0
5/4/2020,Richmond,40-49,78,4,0
5/4/2020,Lord Fairfax,50-59,103,5,1
5/4/2020,Lord Fairfax,10-19,22,0,0
5/4/2020,Rappahannock Rapidan,10-19,27,0,0
5/4/2020,Crater,50-59,46,12,1
5/4/2020,Arlington,Missing,1,0,0
5/4/2020,Roanoke,50-59,10,1,0
5/4/2020,Rappahannock,10-19,27,0,0
5/4/2020,Roanoke,10-19,0,0,0
5/4/2020,Eastern Shore,Missing,0,0,0
5/4/2020,Mount Rogers,Missing,0,0,0
5/4/2020,Prince William,60-69,257,47,10
5/4/2020,Alleghany,70-79,12,3,1
5/4/2020,Crater,20-29,33,4,0
5/4/2020,Loudoun,60-69,87,17,1
5/4/2020,Fairfax,0-9,58,4,0
5/4/2020,Roanoke,Missing,1,0,0
5/4/2020,Alexandria,20-29,131,2,1
5/4/2020,Portsmouth,70-79,12,5,2
5/4/2020,Alleghany,30-39,9,0,0
5/4/2020,Prince William,20-29,400,21,0
5/4/2020,Southside,70-79,21,7,4
5/4/2020,Piedmont,Missing,0,0,0
5/4/2020,Rappahannock,0-9,9,1,0
5/4/2020,Henrico,30-39,96,3,0
5/4/2020,Prince William,10-19,112,3,0
5/4/2020,Chickahominy,10-19,5,0,0
5/4/2020,Lord Fairfax,0-9,11,0,0
5/4/2020,Central Virginia,Missing,0,0,0
5/4/2020,Fairfax,60-69,577,162,25
5/4/2020,Hampton,20-29,21,1,0
5/4/2020,Central Shenandoah,40-49,155,2,0
5/4/2020,Pittsylvania-Danville,0-9,1,0,0
5/4/2020,Crater,30-39,37,1,0
5/4/2020,Virginia Beach,70-79,46,21,4
5/4/2020,Virginia Beach,30-39,68,6,0
5/4/2020,Piedmont,0-9,1,0,0
5/4/2020,Central Shenandoah,30-39,131,2,0
5/4/2020,Hampton,50-59,28,7,0
5/4/2020,Peninsula,70-79,67,34,10
5/4/2020,Arlington,20-29,155,13,0
5/4/2020,West Piedmont,70-79,5,3,1
5/4/2020,Richmond,20-29,67,5,0
5/4/2020,Roanoke,0-9,0,0,0
5/4/2020,Hampton,30-39,23,2,0
5/4/2020,Thomas Jefferson,30-39,44,2,0
5/4/2020,Western Tidewater,40-49,59,3,0
5/4/2020,Richmond,50-59,77,15,0
5/4/2020,Western Tidewater,50-59,77,5,0
5/4/2020,Crater,Missing,0,0,0
5/4/2020,Chesterfield,0-9,2,0,0
5/4/2020,Central Shenandoah,10-19,25,0,0
5/4/2020,Crater,0-9,0,0,0
5/4/2020,Fairfax,70-79,288,108,33
5/4/2020,Rappahannock,80+,9,7,2
5/4/2020,Alexandria,10-19,46,0,0
5/4/2020,Portsmouth,40-49,28,3,0
5/4/2020,Three Rivers,50-59,34,2,0
5/4/2020,Alleghany,Missing,0,0,0
5/4/2020,Alexandria,30-39,236,13,0
5/4/2020,Southside,Missing,0,0,0
5/4/2020,Portsmouth,60-69,24,8,4
5/4/2020,Roanoke,30-39,8,0,0
5/4/2020,Three Rivers,60-69,39,6,0
5/4/2020,Fairfax,50-59,831,132,12
5/4/2020,Portsmouth,50-59,35,9,1
5/4/2020,Chickahominy,80+,37,18,13
5/4/2020,Rappahannock Rapidan,50-59,55,5,0
5/4/2020,Fairfax,80+,373,155,129
5/4/2020,Hampton,Missing,0,0,0
5/4/2020,Cumberland Plateau,80+,0,0,0
5/4/2020,Alleghany,50-59,31,4,0
5/4/2020,Prince William,40-49,560,50,2
5/4/2020,Fairfax,Missing,10,0,0
5/4/2020,Virginia Beach,40-49,67,12,1
5/4/2020,Richmond,Missing,0,0,0
5/4/2020,Norfolk,40-49,46,7,0
5/4/2020,Piedmont,80+,9,1,1
5/4/2020,Virginia Beach,60-69,74,13,1
5/4/2020,West Piedmont,40-49,9,0,0
5/4/2020,Arlington,10-19,26,3,0
5/4/2020,Lenowisco,0-9,4,0,0
5/4/2020,Pittsylvania-Danville,50-59,10,5,0
5/4/2020,Virginia Beach,50-59,68,12,0
5/4/2020,Chesapeake,Missing,0,0,0
5/4/2020,Central Shenandoah,80+,61,7,7
5/4/2020,Thomas Jefferson,40-49,33,4,0
5/4/2020,Rappahannock Rapidan,60-69,35,6,0
5/4/2020,Norfolk,30-39,51,4,0
5/4/2020,Rappahannock Rapidan,Missing,0,0,0
5/4/2020,Lord Fairfax,80+,34,7,1
5/4/2020,Three Rivers,10-19,6,0,0
5/4/2020,Piedmont,40-49,45,1,0
5/4/2020,Norfolk,80+,7,5,2
5/4/2020,Peninsula,20-29,31,1,0
5/4/2020,Norfolk,50-59,41,7,0
5/4/2020,Thomas Jefferson,50-59,49,9,1
5/4/2020,Richmond,70-79,32,15,5
5/4/2020,Chesterfield,70-79,55,9,5
5/4/2020,Piedmont,30-39,45,0,0
5/4/2020,Prince William,30-39,495,29,1
5/4/2020,Alleghany,20-29,14,1,0
5/4/2020,Alleghany,0-9,0,0,0
5/4/2020,Mount Rogers,40-49,15,0,0
5/4/2020,Eastern Shore,40-49,111,3,1
5/4/2020,Central Virginia,60-69,26,2,1
5/4/2020,Richmond,10-19,9,1,0
5/4/2020,Pittsylvania-Danville,60-69,7,4,1
5/4/2020,Pittsylvania-Danville,Missing,0,0,0
5/4/2020,Chesterfield,60-69,82,13,8
5/4/2020,Southside,10-19,3,0,0
5/4/2020,New River,80+,4,2,0
5/4/2020,Central Virginia,50-59,26,1,0
5/4/2020,Hampton,70-79,8,5,0
5/4/2020,Pittsylvania-Danville,10-19,1,0,0
5/4/2020,Richmond,60-69,70,20,4
5/4/2020,Chickahominy,40-49,46,5,1
5/4/2020,Three Rivers,80+,19,4,0
5/4/2020,Rappahannock,30-39,123,7,0
