,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-08-13T00:00:00.000,Alexandria,0-9,171,2,0
1,2020-08-13T00:00:00.000,Alexandria,10-19,219,5,0
2,2020-08-13T00:00:00.000,Alexandria,20-29,544,11,1
3,2020-08-13T00:00:00.000,Alexandria,30-39,692,34,0
4,2020-08-13T00:00:00.000,Alexandria,40-49,557,45,0
5,2020-08-13T00:00:00.000,Alexandria,50-59,377,55,11
6,2020-08-13T00:00:00.000,Alexandria,60-69,238,56,3
7,2020-08-13T00:00:00.000,Alexandria,70-79,110,42,18
8,2020-08-13T00:00:00.000,Alexandria,80+,101,31,27
9,2020-08-13T00:00:00.000,Alexandria,Missing,11,0,0
10,2020-08-13T00:00:00.000,Alleghany,0-9,30,0,0
11,2020-08-13T00:00:00.000,Alleghany,10-19,121,0,0
12,2020-08-13T00:00:00.000,Alleghany,20-29,173,1,0
13,2020-08-13T00:00:00.000,Alleghany,30-39,135,3,0
14,2020-08-13T00:00:00.000,Alleghany,40-49,140,3,0
15,2020-08-13T00:00:00.000,Alleghany,50-59,145,10,1
16,2020-08-13T00:00:00.000,Alleghany,60-69,94,10,1
17,2020-08-13T00:00:00.000,Alleghany,70-79,90,10,10
18,2020-08-13T00:00:00.000,Alleghany,80+,49,12,6
19,2020-08-13T00:00:00.000,Alleghany,Missing,3,0,0
20,2020-08-13T00:00:00.000,Arlington,0-9,70,2,0
21,2020-08-13T00:00:00.000,Arlington,10-19,157,5,0
22,2020-08-13T00:00:00.000,Arlington,20-29,656,22,0
23,2020-08-13T00:00:00.000,Arlington,30-39,587,43,0
24,2020-08-13T00:00:00.000,Arlington,40-49,508,53,8
25,2020-08-13T00:00:00.000,Arlington,50-59,432,70,6
26,2020-08-13T00:00:00.000,Arlington,60-69,320,83,19
27,2020-08-13T00:00:00.000,Arlington,70-79,185,73,32
28,2020-08-13T00:00:00.000,Arlington,80+,205,85,70
29,2020-08-13T00:00:00.000,Arlington,Missing,14,1,0
30,2020-08-13T00:00:00.000,Central Shenandoah,0-9,86,0,0
31,2020-08-13T00:00:00.000,Central Shenandoah,10-19,169,1,0
32,2020-08-13T00:00:00.000,Central Shenandoah,20-29,564,11,0
33,2020-08-13T00:00:00.000,Central Shenandoah,30-39,420,8,0
34,2020-08-13T00:00:00.000,Central Shenandoah,40-49,467,16,0
35,2020-08-13T00:00:00.000,Central Shenandoah,50-59,472,41,5
36,2020-08-13T00:00:00.000,Central Shenandoah,60-69,347,51,15
37,2020-08-13T00:00:00.000,Central Shenandoah,70-79,179,53,18
38,2020-08-13T00:00:00.000,Central Shenandoah,80+,152,38,22
39,2020-08-13T00:00:00.000,Central Shenandoah,Missing,1,0,0
40,2020-08-13T00:00:00.000,Central Virginia,0-9,42,0,0
41,2020-08-13T00:00:00.000,Central Virginia,10-19,162,2,0
42,2020-08-13T00:00:00.000,Central Virginia,20-29,378,3,0
43,2020-08-13T00:00:00.000,Central Virginia,30-39,217,8,0
44,2020-08-13T00:00:00.000,Central Virginia,40-49,207,3,0
45,2020-08-13T00:00:00.000,Central Virginia,50-59,244,7,4
46,2020-08-13T00:00:00.000,Central Virginia,60-69,156,19,2
47,2020-08-13T00:00:00.000,Central Virginia,70-79,99,14,4
48,2020-08-13T00:00:00.000,Central Virginia,80+,68,10,6
49,2020-08-13T00:00:00.000,Central Virginia,Missing,1,0,0
50,2020-08-13T00:00:00.000,Chesapeake,0-9,98,1,0
51,2020-08-13T00:00:00.000,Chesapeake,10-19,226,2,0
52,2020-08-13T00:00:00.000,Chesapeake,20-29,612,5,0
53,2020-08-13T00:00:00.000,Chesapeake,30-39,584,20,0
54,2020-08-13T00:00:00.000,Chesapeake,40-49,464,33,1
55,2020-08-13T00:00:00.000,Chesapeake,50-59,437,44,1
56,2020-08-13T00:00:00.000,Chesapeake,60-69,319,54,10
57,2020-08-13T00:00:00.000,Chesapeake,70-79,161,46,5
58,2020-08-13T00:00:00.000,Chesapeake,80+,139,41,24
59,2020-08-13T00:00:00.000,Chesapeake,Missing,42,1,0
60,2020-08-13T00:00:00.000,Chesterfield,0-9,192,2,0
61,2020-08-13T00:00:00.000,Chesterfield,10-19,477,2,0
62,2020-08-13T00:00:00.000,Chesterfield,20-29,893,12,2
63,2020-08-13T00:00:00.000,Chesterfield,30-39,954,18,2
64,2020-08-13T00:00:00.000,Chesterfield,40-49,826,34,3
65,2020-08-13T00:00:00.000,Chesterfield,50-59,657,57,5
66,2020-08-13T00:00:00.000,Chesterfield,60-69,406,68,20
67,2020-08-13T00:00:00.000,Chesterfield,70-79,177,36,25
68,2020-08-13T00:00:00.000,Chesterfield,80+,171,37,49
69,2020-08-13T00:00:00.000,Chesterfield,Missing,119,1,0
70,2020-08-13T00:00:00.000,Chickahominy,0-9,24,0,0
71,2020-08-13T00:00:00.000,Chickahominy,10-19,83,0,0
72,2020-08-13T00:00:00.000,Chickahominy,20-29,164,3,0
73,2020-08-13T00:00:00.000,Chickahominy,30-39,141,3,0
74,2020-08-13T00:00:00.000,Chickahominy,40-49,136,14,1
75,2020-08-13T00:00:00.000,Chickahominy,50-59,177,25,1
76,2020-08-13T00:00:00.000,Chickahominy,60-69,115,26,8
77,2020-08-13T00:00:00.000,Chickahominy,70-79,84,24,7
78,2020-08-13T00:00:00.000,Chickahominy,80+,89,38,29
79,2020-08-13T00:00:00.000,Chickahominy,Missing,17,0,0
80,2020-08-13T00:00:00.000,Crater,0-9,51,2,0
81,2020-08-13T00:00:00.000,Crater,10-19,120,2,0
82,2020-08-13T00:00:00.000,Crater,20-29,417,9,0
83,2020-08-13T00:00:00.000,Crater,30-39,453,9,0
84,2020-08-13T00:00:00.000,Crater,40-49,370,23,1
85,2020-08-13T00:00:00.000,Crater,50-59,420,42,4
86,2020-08-13T00:00:00.000,Crater,60-69,335,58,19
87,2020-08-13T00:00:00.000,Crater,70-79,197,46,23
88,2020-08-13T00:00:00.000,Crater,80+,154,35,23
89,2020-08-13T00:00:00.000,Crater,Missing,25,0,0
