Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
7/14/2020,Southside,495,57,31
7/14/2020,Chesapeake,1379,159,23
7/14/2020,Thomas Jefferson,1277,105,29
7/14/2020,Roanoke,611,15,10
7/14/2020,Eastern Shore,1319,113,42
7/14/2020,Mount Rogers,848,82,36
7/14/2020,Chickahominy,734,115,41
7/14/2020,New River,315,23,6
7/14/2020,Central Virginia,521,16,6
7/14/2020,Piedmont,1133,109,18
7/14/2020,Lord Fairfax,2209,191,75
7/14/2020,Crater,1738,170,49
7/14/2020,Hampton,568,42,4
7/14/2020,Alexandria,2465,250,57
7/14/2020,Fairfax,14701,1739,514
7/14/2020,Richmond,2457,240,36
7/14/2020,Arlington,2660,422,134
7/14/2020,Rappahannock Rapidan,1606,123,25
7/14/2020,Rappahannock,2699,250,46
7/14/2020,Pittsylvania-Danville,313,46,4
7/14/2020,Prince William,9845,864,182
7/14/2020,Cumberland Plateau,111,6,0
7/14/2020,Portsmouth,761,88,19
7/14/2020,Virginia Beach,1993,140,32
7/14/2020,West Piedmont,646,59,8
7/14/2020,Three Rivers,816,57,12
7/14/2020,Alleghany,668,32,15
7/14/2020,Lenowisco,89,18,4
7/14/2020,Norfolk,1606,132,16
7/14/2020,Western Tidewater,1113,99,65
7/14/2020,Henrico,2925,270,173
7/14/2020,Central Shenandoah,2310,182,45
7/14/2020,Loudoun,4458,296,99
7/14/2020,Chesterfield,3536,176,86
7/14/2020,Peninsula,1518,131,35
