Event Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
5/4/2020,Confirmed,15,0,1
5/4/2020,Probable,3,0,0
5/3/2020,Confirmed,63,11,5
5/2/2020,Confirmed,166,11,6
5/2/2020,Probable,4,1,1
5/1/2020,Confirmed,557,27,1
5/1/2020,Probable,15,0,0
4/30/2020,Confirmed,596,32,14
4/30/2020,Probable,8,0,0
4/29/2020,Confirmed,589,40,8
4/29/2020,Probable,15,0,1
4/28/2020,Confirmed,634,50,10
4/28/2020,Probable,16,0,0
4/27/2020,Confirmed,688,56,15
4/27/2020,Probable,17,1,0
4/26/2020,Confirmed,449,39,13
4/26/2020,Probable,16,0,2
4/25/2020,Confirmed,452,46,10
4/25/2020,Probable,37,1,2
4/24/2020,Confirmed,711,59,10
4/24/2020,Probable,39,0,0
4/23/2020,Confirmed,609,50,11
4/23/2020,Probable,28,0,2
4/22/2020,Confirmed,621,57,7
4/22/2020,Probable,36,0,0
4/21/2020,Confirmed,598,78,13
4/21/2020,Probable,26,2,2
4/20/2020,Confirmed,687,69,11
4/20/2020,Probable,44,0,2
4/19/2020,Confirmed,391,48,14
4/19/2020,Probable,24,1,0
4/18/2020,Confirmed,381,59,10
4/18/2020,Probable,16,1,0
4/17/2020,Confirmed,602,55,13
4/17/2020,Probable,29,0,1
4/16/2020,Confirmed,539,65,16
4/16/2020,Probable,14,0,0
4/15/2020,Confirmed,446,71,15
4/15/2020,Probable,19,0,0
4/14/2020,Confirmed,560,55,18
4/14/2020,Probable,29,1,1
4/13/2020,Confirmed,556,82,13
4/13/2020,Probable,36,2,1
4/12/2020,Confirmed,348,64,15
4/12/2020,Probable,32,0,1
4/11/2020,Confirmed,329,44,9
4/11/2020,Probable,25,0,0
4/10/2020,Confirmed,514,59,11
4/10/2020,Probable,30,0,0
4/9/2020,Confirmed,389,70,5
4/9/2020,Probable,21,0,0
4/8/2020,Confirmed,416,51,6
4/8/2020,Probable,33,0,0
4/7/2020,Confirmed,395,58,8
4/7/2020,Probable,18,0,0
4/6/2020,Confirmed,429,79,8
4/6/2020,Probable,31,0,0
4/5/2020,Confirmed,277,57,6
4/5/2020,Probable,22,0,0
4/4/2020,Confirmed,271,56,3
4/4/2020,Probable,15,0,0
4/3/2020,Confirmed,304,57,5
4/3/2020,Probable,15,1,0
4/2/2020,Confirmed,284,52,7
4/2/2020,Probable,16,0,0
4/1/2020,Confirmed,282,70,4
4/1/2020,Probable,21,0,1
3/31/2020,Confirmed,274,46,6
3/31/2020,Probable,9,0,0
3/30/2020,Confirmed,359,65,3
3/30/2020,Probable,16,0,0
3/29/2020,Confirmed,181,63,5
3/29/2020,Probable,8,0,0
3/28/2020,Confirmed,210,60,3
3/28/2020,Probable,4,0,0
3/27/2020,Confirmed,232,51,4
3/27/2020,Probable,3,0,0
3/26/2020,Confirmed,243,48,4
3/26/2020,Probable,12,0,1
3/25/2020,Confirmed,231,55,2
3/25/2020,Probable,6,0,0
3/24/2020,Confirmed,225,52,2
3/24/2020,Probable,10,0,0
3/23/2020,Confirmed,241,40,1
3/23/2020,Probable,14,0,0
3/22/2020,Confirmed,157,22,2
3/22/2020,Probable,6,0,0
3/21/2020,Confirmed,165,27,5
3/21/2020,Probable,7,0,0
3/20/2020,Confirmed,197,19,1
3/20/2020,Probable,4,0,0
3/19/2020,Confirmed,179,17,0
3/19/2020,Probable,3,0,0
3/18/2020,Confirmed,192,15,0
3/18/2020,Probable,6,0,0
3/17/2020,Confirmed,172,12,0
3/17/2020,Probable,7,0,0
3/16/2020,Confirmed,183,11,0
3/16/2020,Probable,4,0,0
3/15/2020,Confirmed,108,9,1
3/15/2020,Probable,4,0,0
3/14/2020,Confirmed,135,6,1
3/14/2020,Probable,3,0,0
3/13/2020,Confirmed,108,6,0
3/13/2020,Probable,4,0,0
3/12/2020,Confirmed,93,5,0
3/12/2020,Probable,2,0,0
3/11/2020,Confirmed,71,4,0
3/11/2020,Probable,2,0,0
3/10/2020,Confirmed,55,2,0
3/10/2020,Probable,1,0,0
3/9/2020,Confirmed,45,3,0
3/9/2020,Probable,1,0,0
3/8/2020,Confirmed,20,0,0
3/8/2020,Probable,1,0,0
3/7/2020,Confirmed,20,1,0
3/6/2020,Confirmed,24,1,0
3/5/2020,Confirmed,13,1,0
3/4/2020,Confirmed,16,0,0
3/3/2020,Confirmed,12,0,0
3/3/2020,Probable,1,0,0
3/2/2020,Confirmed,10,0,0
3/2/2020,Probable,2,0,0
3/1/2020,Confirmed,10,0,0
3/1/2020,Probable,1,0,0
2/29/2020,Confirmed,2,0,0
2/28/2020,Confirmed,5,0,0
2/27/2020,Confirmed,1,0,0
2/26/2020,Confirmed,3,1,0
2/26/2020,Probable,1,0,0
2/25/2020,Probable,1,0,0
2/24/2020,Confirmed,2,0,0
2/23/2020,Confirmed,2,0,0
2/23/2020,Probable,1,0,0
2/19/2020,Confirmed,1,0,0
2/18/2020,Confirmed,1,1,0
2/16/2020,Confirmed,1,0,0
