Event Date,Case Status,Number of Hospitalizations,Number of Deaths,Number of Cases
5/8/2020,Confirmed,1,3,16
5/8/2020,Probable,0,0,2
5/7/2020,Confirmed,10,15,42
5/7/2020,Probable,0,0,1
5/6/2020,Confirmed,22,15,145
5/6/2020,Probable,0,1,7
5/5/2020,Confirmed,33,27,355
5/5/2020,Probable,0,1,4
5/4/2020,Confirmed,52,16,664
5/4/2020,Probable,0,0,8
5/3/2020,Confirmed,47,15,361
5/3/2020,Probable,0,1,5
5/2/2020,Confirmed,43,21,416
5/2/2020,Probable,2,1,15
5/1/2020,Confirmed,56,15,679
5/1/2020,Probable,0,0,32
4/30/2020,Confirmed,61,29,657
4/30/2020,Probable,0,0,30
4/29/2020,Confirmed,56,19,679
4/29/2020,Probable,0,1,17
4/28/2020,Confirmed,65,25,675
4/28/2020,Probable,1,0,27
4/27/2020,Confirmed,67,20,717
4/27/2020,Probable,2,0,27
4/26/2020,Confirmed,48,24,507
4/26/2020,Probable,0,3,19
4/25/2020,Confirmed,49,20,513
4/25/2020,Probable,1,3,36
4/24/2020,Confirmed,67,24,746
4/24/2020,Probable,0,1,45
4/23/2020,Confirmed,52,18,673
4/23/2020,Probable,0,2,35
4/22/2020,Confirmed,59,25,667
4/22/2020,Probable,0,0,40
4/21/2020,Confirmed,84,26,623
4/21/2020,Probable,2,2,26
4/20/2020,Confirmed,75,16,750
4/20/2020,Probable,1,2,52
4/19/2020,Confirmed,52,33,407
4/19/2020,Probable,1,0,28
4/18/2020,Confirmed,59,19,388
4/18/2020,Probable,1,0,20
4/17/2020,Confirmed,57,28,616
4/17/2020,Probable,0,1,39
4/16/2020,Confirmed,69,29,566
4/16/2020,Probable,0,0,16
4/15/2020,Confirmed,71,22,466
4/15/2020,Probable,0,0,20
4/14/2020,Confirmed,56,23,554
4/14/2020,Probable,0,1,30
4/13/2020,Confirmed,83,24,580
4/13/2020,Probable,2,1,41
4/12/2020,Confirmed,64,20,366
4/12/2020,Probable,0,1,34
4/11/2020,Confirmed,46,15,334
4/11/2020,Probable,0,0,29
4/10/2020,Confirmed,61,18,512
4/10/2020,Probable,0,0,31
4/9/2020,Confirmed,72,13,388
4/9/2020,Probable,0,0,21
4/8/2020,Confirmed,56,10,409
4/8/2020,Probable,0,1,31
4/7/2020,Confirmed,59,14,392
4/7/2020,Probable,0,0,17
4/6/2020,Confirmed,80,16,435
4/6/2020,Probable,0,0,35
4/5/2020,Confirmed,58,10,277
4/5/2020,Probable,0,0,25
4/4/2020,Confirmed,57,8,289
4/4/2020,Probable,0,0,14
4/3/2020,Confirmed,60,11,315
4/3/2020,Probable,1,0,17
4/2/2020,Confirmed,54,9,302
4/2/2020,Probable,0,0,16
4/1/2020,Confirmed,70,10,289
4/1/2020,Probable,0,1,27
3/31/2020,Confirmed,47,10,276
3/31/2020,Probable,0,1,12
3/30/2020,Confirmed,65,6,370
3/30/2020,Probable,0,0,18
3/29/2020,Confirmed,64,7,179
3/29/2020,Probable,0,0,9
3/28/2020,Confirmed,62,8,215
3/28/2020,Probable,0,0,5
3/27/2020,Confirmed,55,9,242
3/27/2020,Probable,0,0,4
3/26/2020,Confirmed,49,4,244
3/26/2020,Probable,0,1,11
3/25/2020,Confirmed,54,4,242
3/25/2020,Probable,0,0,7
3/24/2020,Confirmed,52,3,227
3/24/2020,Probable,0,0,14
3/23/2020,Confirmed,41,1,242
3/23/2020,Probable,0,0,16
3/22/2020,Confirmed,22,4,160
3/22/2020,Probable,0,0,6
3/21/2020,Confirmed,28,4,171
3/21/2020,Probable,0,0,8
3/20/2020,Confirmed,19,1,201
3/20/2020,Probable,0,0,7
3/19/2020,Confirmed,17,0,180
3/19/2020,Probable,0,0,8
3/18/2020,Confirmed,15,0,201
3/18/2020,Probable,0,0,7
3/17/2020,Confirmed,13,0,177
3/17/2020,Probable,0,0,10
3/16/2020,Confirmed,11,0,186
3/16/2020,Probable,0,0,6
3/15/2020,Confirmed,9,1,111
3/15/2020,Probable,0,0,6
3/14/2020,Confirmed,6,1,134
3/14/2020,Probable,0,0,4
3/13/2020,Confirmed,6,0,107
3/13/2020,Probable,0,0,4
3/12/2020,Confirmed,5,0,95
3/12/2020,Probable,0,0,3
3/11/2020,Confirmed,4,0,73
3/11/2020,Probable,0,0,3
3/10/2020,Confirmed,2,0,57
3/10/2020,Probable,0,0,2
3/9/2020,Confirmed,3,0,46
3/9/2020,Probable,0,0,1
3/8/2020,Confirmed,0,0,20
3/8/2020,Probable,0,0,1
3/7/2020,Confirmed,1,0,21
3/7/2020,Probable,0,0,1
3/6/2020,Confirmed,1,0,25
3/5/2020,Confirmed,1,0,13
3/4/2020,Confirmed,0,0,19
3/3/2020,Confirmed,0,0,13
3/3/2020,Probable,0,0,1
3/2/2020,Confirmed,0,0,14
3/2/2020,Probable,0,0,2
3/1/2020,Confirmed,0,0,11
3/1/2020,Probable,0,0,1
2/29/2020,Confirmed,0,0,4
2/29/2020,Probable,0,0,1
2/28/2020,Confirmed,0,0,5
2/27/2020,Confirmed,0,0,1
2/26/2020,Confirmed,1,0,4
2/26/2020,Probable,0,0,1
2/25/2020,Probable,0,0,1
2/24/2020,Confirmed,0,0,5
2/23/2020,Confirmed,0,0,2
2/23/2020,Probable,0,0,1
2/19/2020,Confirmed,0,0,1
2/18/2020,Confirmed,1,0,2
2/17/2020,Probable,0,0,1
2/16/2020,Confirmed,0,0,1
