Event Date,Case Status,Number of Hospitalizations,Number of Deaths,Number of Cases
5/10/2020,Confirmed,1,2,7
5/10/2020,Probable,0,0,1
5/9/2020,Confirmed,2,3,21
5/8/2020,Confirmed,16,12,125
5/8/2020,Probable,0,0,3
5/7/2020,Confirmed,33,19,392
5/7/2020,Probable,0,0,3
5/6/2020,Confirmed,38,15,569
5/6/2020,Probable,0,1,14
5/5/2020,Confirmed,40,29,620
5/5/2020,Probable,0,1,15
5/4/2020,Confirmed,58,16,728
5/4/2020,Probable,0,0,14
5/3/2020,Confirmed,57,15,398
5/3/2020,Probable,0,1,9
5/2/2020,Confirmed,48,22,467
5/2/2020,Probable,2,1,14
5/1/2020,Confirmed,60,16,760
5/1/2020,Probable,0,0,32
4/30/2020,Confirmed,63,29,702
4/30/2020,Probable,0,0,34
4/29/2020,Confirmed,62,19,709
4/29/2020,Probable,1,2,21
4/28/2020,Confirmed,65,25,706
4/28/2020,Probable,1,0,28
4/27/2020,Confirmed,69,20,756
4/27/2020,Probable,2,0,28
4/26/2020,Confirmed,51,24,544
4/26/2020,Probable,0,3,20
4/25/2020,Confirmed,50,20,539
4/25/2020,Probable,1,3,40
4/24/2020,Confirmed,69,24,769
4/24/2020,Probable,0,1,44
4/23/2020,Confirmed,55,18,696
4/23/2020,Probable,0,2,35
4/22/2020,Confirmed,58,25,678
4/22/2020,Probable,0,0,38
4/21/2020,Confirmed,88,26,628
4/21/2020,Probable,2,2,26
4/20/2020,Confirmed,77,16,764
4/20/2020,Probable,1,2,55
4/19/2020,Confirmed,53,33,414
4/19/2020,Probable,1,0,29
4/18/2020,Confirmed,59,19,394
4/18/2020,Probable,1,0,21
4/17/2020,Confirmed,57,28,626
4/17/2020,Probable,0,1,39
4/16/2020,Confirmed,68,29,566
4/16/2020,Probable,0,0,18
4/15/2020,Confirmed,72,22,470
4/15/2020,Probable,0,0,21
4/14/2020,Confirmed,56,23,558
4/14/2020,Probable,0,1,31
4/13/2020,Confirmed,84,24,585
4/13/2020,Probable,2,1,43
4/12/2020,Confirmed,65,20,368
4/12/2020,Probable,0,1,34
4/11/2020,Confirmed,48,14,331
4/11/2020,Probable,0,0,30
4/10/2020,Confirmed,61,19,510
4/10/2020,Probable,0,0,32
4/9/2020,Confirmed,72,13,393
4/9/2020,Probable,0,0,21
4/8/2020,Confirmed,56,10,413
4/8/2020,Probable,0,1,33
4/7/2020,Confirmed,59,14,394
4/7/2020,Probable,0,0,17
4/6/2020,Confirmed,80,16,442
4/6/2020,Probable,0,0,35
4/5/2020,Confirmed,58,10,277
4/5/2020,Probable,0,0,26
4/4/2020,Confirmed,57,8,293
4/4/2020,Probable,0,0,15
4/3/2020,Confirmed,61,11,318
4/3/2020,Probable,1,0,16
4/2/2020,Confirmed,55,9,305
4/2/2020,Probable,0,0,16
4/1/2020,Confirmed,70,10,297
4/1/2020,Probable,0,1,27
3/31/2020,Confirmed,48,10,280
3/31/2020,Probable,0,1,12
3/30/2020,Confirmed,65,6,373
3/30/2020,Probable,0,0,23
3/29/2020,Confirmed,65,7,185
3/29/2020,Probable,0,0,9
3/28/2020,Confirmed,63,8,218
3/28/2020,Probable,0,0,5
3/27/2020,Confirmed,55,9,244
3/27/2020,Probable,0,0,4
3/26/2020,Confirmed,49,4,251
3/26/2020,Probable,0,1,11
3/25/2020,Confirmed,54,4,243
3/25/2020,Probable,0,0,7
3/24/2020,Confirmed,52,3,229
3/24/2020,Probable,0,0,14
3/23/2020,Confirmed,41,1,244
3/23/2020,Probable,0,0,16
3/22/2020,Confirmed,22,4,161
3/22/2020,Probable,0,0,6
3/21/2020,Confirmed,28,4,173
3/21/2020,Probable,0,0,8
3/20/2020,Confirmed,19,1,200
3/20/2020,Probable,0,0,7
3/19/2020,Confirmed,17,0,179
3/19/2020,Probable,0,0,8
3/18/2020,Confirmed,15,0,202
3/18/2020,Probable,0,0,7
3/17/2020,Confirmed,13,0,177
3/17/2020,Probable,0,0,10
3/16/2020,Confirmed,11,0,186
3/16/2020,Probable,0,0,6
3/15/2020,Confirmed,9,1,113
3/15/2020,Probable,0,0,6
3/14/2020,Confirmed,6,1,134
3/14/2020,Probable,0,0,5
3/13/2020,Confirmed,6,0,108
3/13/2020,Probable,0,0,4
3/12/2020,Confirmed,5,0,97
3/12/2020,Probable,0,0,3
3/11/2020,Confirmed,4,0,73
3/11/2020,Probable,0,0,4
3/10/2020,Confirmed,2,0,58
3/10/2020,Probable,0,0,2
3/9/2020,Confirmed,3,0,47
3/9/2020,Probable,0,0,4
3/8/2020,Confirmed,0,0,20
3/8/2020,Probable,0,0,1
3/7/2020,Confirmed,1,0,21
3/7/2020,Probable,0,0,1
3/6/2020,Confirmed,1,0,25
3/5/2020,Confirmed,1,0,13
3/4/2020,Confirmed,0,0,19
3/3/2020,Confirmed,0,0,13
3/3/2020,Probable,0,0,1
3/2/2020,Confirmed,0,0,14
3/2/2020,Probable,0,0,2
3/1/2020,Confirmed,0,0,12
3/1/2020,Probable,0,0,2
2/29/2020,Confirmed,0,0,4
2/29/2020,Probable,0,0,1
2/28/2020,Confirmed,0,0,5
2/27/2020,Confirmed,0,0,1
2/26/2020,Confirmed,1,0,4
2/26/2020,Probable,0,0,1
2/25/2020,Probable,0,0,1
2/24/2020,Confirmed,0,0,5
2/23/2020,Confirmed,0,0,2
2/23/2020,Probable,0,0,1
2/19/2020,Confirmed,0,0,1
2/18/2020,Confirmed,1,0,2
2/17/2020,Probable,0,0,1
2/16/2020,Confirmed,0,0,1
