Event Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths,Health Planning Region
4/4/2020,Probable,1,0,0,Southwest
5/28/2020,Probable,7,0,0,Northwest
6/28/2020,Confirmed,4,2,1,Northern
4/24/2020,Confirmed,539,60,18,Northern
3/25/2020,Probable,3,0,0,Northwest
3/23/2020,Probable,3,0,0,Northwest
3/1/2020,Probable,1,0,0,Northern
6/13/2020,Confirmed,52,4,1,Eastern
6/12/2020,Confirmed,119,13,1,Central
2/17/2020,Confirmed,2,1,0,Northern
5/12/2020,Probable,3,1,0,Eastern
4/9/2020,Confirmed,14,1,0,Southwest
3/28/2020,Probable,2,0,0,Northwest
3/19/2020,Confirmed,14,0,0,Southwest
3/9/2020,Confirmed,6,0,0,Central
3/8/2020,Confirmed,5,0,0,Eastern
3/12/2020,Confirmed,12,1,0,Northwest
5/29/2020,Probable,6,0,0,Northern
6/15/2020,Confirmed,127,1,1,Central
6/18/2020,Confirmed,90,3,0,Eastern
4/23/2020,Confirmed,421,47,8,Northern
6/13/2020,Probable,2,0,0,Southwest
5/9/2020,Probable,1,0,0,Central
4/11/2020,Confirmed,68,2,2,Northwest
3/14/2020,Probable,1,0,0,Central
3/4/2020,Confirmed,5,0,0,Eastern
4/18/2020,Probable,2,0,0,Eastern
5/29/2020,Probable,0,1,0,Central
5/6/2020,Confirmed,139,10,1,Central
3/17/2020,Probable,1,0,0,Eastern
5/9/2020,Confirmed,65,5,6,Eastern
4/15/2020,Probable,2,0,0,Central
2/28/2020,Confirmed,1,0,0,Northwest
3/23/2020,Confirmed,11,1,0,Southwest
3/21/2020,Confirmed,86,10,1,Northern
5/5/2020,Probable,0,0,1,Central
3/29/2020,Probable,2,0,0,Eastern
6/16/2020,Confirmed,115,3,1,Central
6/17/2020,Confirmed,90,4,3,Eastern
5/19/2020,Probable,14,0,0,Northern
6/22/2020,Confirmed,102,5,0,Central
3/27/2020,Confirmed,39,8,0,Northwest
6/19/2020,Confirmed,83,6,1,Eastern
3/30/2020,Confirmed,46,16,2,Eastern
6/22/2020,Probable,2,0,0,Eastern
3/27/2020,Confirmed,54,10,3,Central
6/20/2020,Confirmed,50,4,0,Central
2/16/2020,Probable,1,0,0,Northern
6/21/2020,Confirmed,48,4,0,Eastern
4/19/2020,Confirmed,42,8,8,Central
5/14/2020,Probable,15,2,2,Northern
4/16/2020,Confirmed,71,7,3,Eastern
4/16/2020,Confirmed,113,15,12,Central
4/19/2020,Confirmed,78,5,2,Eastern
3/16/2020,Confirmed,6,2,0,Southwest
3/31/2020,Probable,2,1,0,Northwest
3/13/2020,Probable,3,0,0,Northern
5/5/2020,Probable,10,0,1,Northwest
6/20/2020,Confirmed,102,5,1,Northern
4/7/2020,Confirmed,17,3,0,Southwest
5/20/2020,Probable,11,0,0,Northwest
4/28/2020,Probable,1,0,0,Southwest
5/27/2020,Probable,6,0,0,Eastern
4/4/2020,Probable,10,0,0,Northern
3/26/2020,Confirmed,11,2,0,Southwest
6/3/2020,Confirmed,237,19,12,Northern
4/12/2020,Probable,1,0,0,Southwest
5/10/2020,Probable,11,0,0,Northern
6/5/2020,Probable,15,0,0,Northwest
3/18/2020,Confirmed,19,2,0,Northwest
3/8/2020,Confirmed,1,0,0,Southwest
6/23/2020,Confirmed,68,4,1,Southwest
5/14/2020,Confirmed,36,0,0,Southwest
5/3/2020,Probable,2,0,0,Eastern
3/27/2020,Probable,1,0,2,Central
3/3/2020,Probable,1,0,0,Northern
3/24/2020,Confirmed,19,6,0,Northwest
4/2/2020,Confirmed,184,27,3,Northern
5/1/2020,Confirmed,716,70,13,Northern
5/18/2020,Probable,1,0,0,Central
6/23/2020,Confirmed,156,7,2,Northern
5/25/2020,Probable,8,0,0,Northwest
4/1/2020,Probable,1,0,0,Central
4/28/2020,Probable,3,0,0,Eastern
3/29/2020,Confirmed,92,25,4,Northern
5/23/2020,Probable,4,0,3,Northern
3/31/2020,Confirmed,8,4,0,Southwest
4/22/2020,Confirmed,83,9,4,Eastern
4/21/2020,Confirmed,75,5,3,Central
5/17/2020,Confirmed,44,8,2,Eastern
5/14/2020,Confirmed,148,9,1,Central
3/19/2020,Probable,2,0,0,Northwest
3/1/2020,Probable,2,0,0,Eastern
3/15/2020,Confirmed,24,1,0,Northwest
6/20/2020,Confirmed,40,3,2,Northwest
3/28/2020,Confirmed,35,22,1,Eastern
5/27/2020,Confirmed,118,6,4,Northwest
3/29/2020,Confirmed,42,14,2,Central
2/19/2020,Confirmed,1,0,0,Central
4/2/2020,Confirmed,49,5,0,Northwest
2/17/2020,Probable,1,0,0,Northern
5/8/2020,Confirmed,623,48,15,Northern
4/29/2020,Probable,24,2,4,Northern
6/8/2020,Probable,12,0,0,Northwest
3/12/2020,Confirmed,26,2,0,Eastern
3/13/2020,Confirmed,11,2,0,Central
6/19/2020,Probable,1,0,0,Northern
6/2/2020,Probable,5,0,1,Northern
3/3/2020,Confirmed,9,0,0,Northern
3/28/2020,Probable,6,0,0,Northern
6/27/2020,Confirmed,16,0,0,Northwest
5/18/2020,Confirmed,195,14,1,Northwest
6/9/2020,Probable,1,0,0,Southwest
4/27/2020,Confirmed,577,62,14,Northern
3/20/2020,Confirmed,18,1,0,Southwest
4/23/2020,Probable,31,0,5,Northern
6/29/2020,Confirmed,0,1,0,Southwest
6/28/2020,Confirmed,10,2,3,Central
6/29/2020,Confirmed,30,4,0,Eastern
5/20/2020,Confirmed,61,4,3,Southwest
6/18/2020,Probable,1,0,0,Northern
5/10/2020,Confirmed,107,5,3,Central
5/13/2020,Confirmed,80,7,3,Eastern
3/7/2020,Probable,1,0,0,Northwest
4/11/2020,Probable,7,0,0,Northwest
5/23/2020,Probable,1,0,0,Southwest
4/10/2020,Probable,11,0,0,Northwest
6/21/2020,Probable,1,0,0,Northern
4/9/2020,Probable,4,0,0,Northwest
6/14/2020,Probable,2,0,0,Northwest
5/10/2020,Confirmed,395,42,21,Northern
6/26/2020,Probable,8,0,0,Northern
5/24/2020,Probable,8,0,0,Eastern
4/4/2020,Confirmed,28,8,0,Eastern
4/7/2020,Confirmed,92,20,7,Central
2/29/2020,Confirmed,1,0,0,Northwest
4/15/2020,Probable,14,0,0,Northern
5/6/2020,Confirmed,604,63,11,Northern
6/10/2020,Probable,6,0,0,Northwest
4/30/2020,Confirmed,23,2,4,Southwest
4/13/2020,Confirmed,391,53,11,Northern
3/28/2020,Confirmed,29,10,1,Northwest
6/26/2020,Probable,5,0,0,Northwest
4/30/2020,Probable,6,0,0,Eastern
3/25/2020,Confirmed,33,9,0,Northwest
4/3/2020,Probable,3,0,0,Central
5/22/2020,Confirmed,457,42,11,Northern
6/16/2020,Confirmed,153,7,0,Northern
5/16/2020,Probable,9,0,0,Northwest
5/2/2020,Probable,1,0,0,Southwest
3/14/2020,Probable,7,0,0,Northern
3/5/2020,Confirmed,7,2,0,Northern
4/28/2020,Confirmed,129,10,2,Northwest
3/5/2020,Probable,1,0,0,Northern
5/31/2020,Confirmed,37,3,0,Eastern
6/1/2020,Confirmed,184,12,0,Central
5/22/2020,Confirmed,204,11,3,Central
5/25/2020,Confirmed,62,7,2,Eastern
4/3/2020,Probable,7,0,0,Northern
3/11/2020,Probable,3,0,0,Northwest
3/1/2020,Confirmed,2,0,0,Northwest
4/6/2020,Probable,22,0,2,Northern
6/17/2020,Probable,1,0,0,Northern
6/1/2020,Confirmed,374,18,8,Northern
3/15/2020,Probable,2,0,0,Northwest
5/22/2020,Probable,2,0,0,Central
4/5/2020,Confirmed,48,5,0,Northwest
3/19/2020,Confirmed,41,4,0,Eastern
3/11/2020,Probable,7,0,0,Northern
6/24/2020,Confirmed,73,1,0,Southwest
3/22/2020,Confirmed,17,4,2,Central
5/15/2020,Confirmed,36,1,1,Southwest
4/14/2020,Probable,2,0,0,Central
3/10/2020,Confirmed,5,0,0,Northwest
3/18/2020,Probable,2,0,0,Eastern
3/28/2020,Confirmed,108,22,1,Northern
4/1/2020,Probable,4,0,0,Eastern
4/2/2020,Confirmed,49,13,7,Central
4/1/2020,Confirmed,36,17,1,Eastern
4/9/2020,Probable,7,0,0,Eastern
5/7/2020,Probable,5,0,1,Eastern
3/21/2020,Confirmed,12,2,0,Southwest
6/2/2020,Probable,1,0,0,Southwest
4/17/2020,Probable,5,0,0,Northwest
3/12/2020,Probable,1,0,0,Eastern
3/27/2020,Probable,1,0,0,Eastern
5/2/2020,Confirmed,15,4,0,Southwest
3/2/2020,Probable,1,0,0,Northwest
4/28/2020,Probable,21,0,2,Northern
3/8/2020,Probable,1,0,0,Eastern
6/6/2020,Confirmed,46,6,0,Eastern
6/3/2020,Confirmed,160,9,3,Central
3/15/2020,Probable,2,0,0,Eastern
4/13/2020,Probable,4,0,0,Central
3/28/2020,Probable,1,0,0,Southwest
4/13/2020,Probable,4,0,0,Eastern
3/19/2020,Confirmed,20,1,0,Northwest
5/3/2020,Probable,13,0,2,Northern
5/30/2020,Confirmed,31,2,3,Southwest
6/7/2020,Confirmed,21,3,2,Southwest
5/4/2020,Probable,8,0,1,Northwest
6/22/2020,Confirmed,92,3,0,Southwest
5/30/2020,Confirmed,146,1,3,Central
5/29/2020,Confirmed,51,1,1,Southwest
6/2/2020,Confirmed,64,3,1,Eastern
3/16/2020,Confirmed,13,1,0,Central
3/20/2020,Probable,9,0,0,Northern
3/17/2020,Confirmed,50,6,0,Eastern
4/18/2020,Probable,5,0,0,Northwest
4/16/2020,Probable,2,0,0,Eastern
5/30/2020,Probable,2,0,0,Southwest
3/12/2020,Probable,3,0,0,Central
3/13/2020,Confirmed,57,2,0,Northern
6/25/2020,Confirmed,55,2,0,Eastern
6/24/2020,Confirmed,74,4,0,Central
6/21/2020,Confirmed,48,6,0,Central
5/27/2020,Probable,14,0,0,Northern
6/20/2020,Confirmed,52,4,2,Eastern
4/14/2020,Probable,5,0,0,Northwest
3/3/2020,Confirmed,2,0,0,Central
5/2/2020,Probable,2,0,1,Eastern
3/6/2020,Confirmed,6,0,0,Eastern
6/16/2020,Probable,1,0,0,Eastern
6/18/2020,Probable,4,0,0,Northwest
5/14/2020,Confirmed,529,45,11,Northern
4/10/2020,Confirmed,96,7,2,Northwest
6/17/2020,Probable,6,0,0,Northwest
5/15/2020,Confirmed,631,38,12,Northern
3/22/2020,Probable,8,0,0,Northern
4/5/2020,Probable,6,0,0,Northwest
3/22/2020,Confirmed,22,5,0,Northwest
4/24/2020,Confirmed,91,10,5,Northwest
3/4/2020,Confirmed,3,0,0,Northwest
4/29/2020,Probable,3,0,1,Central
3/31/2020,Probable,1,0,0,Eastern
