Event Date,Health Planning Region,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
7/16/2020,Central,Confirmed,2,0,0
7/16/2020,Eastern,Confirmed,1,2,0
7/16/2020,Northern,Confirmed,2,0,1
7/16/2020,Northern,Probable,1,0,0
7/16/2020,Northwest,Confirmed,3,0,0
7/16/2020,Northwest,Probable,2,0,0
7/16/2020,Southwest,Confirmed,4,1,0
7/15/2020,Central,Confirmed,17,3,1
7/15/2020,Eastern,Confirmed,35,1,0
7/15/2020,Northern,Confirmed,9,0,1
7/15/2020,Northern,Probable,2,0,0
7/15/2020,Northwest,Confirmed,13,0,0
7/15/2020,Northwest,Probable,8,0,0
7/15/2020,Southwest,Confirmed,6,0,0
7/15/2020,Southwest,Probable,3,0,0
7/14/2020,Central,Confirmed,38,3,0
7/14/2020,Central,Probable,1,0,0
7/14/2020,Eastern,Confirmed,128,3,4
7/14/2020,Northern,Confirmed,29,2,1
7/14/2020,Northern,Probable,13,0,0
7/14/2020,Northwest,Confirmed,42,2,0
7/14/2020,Northwest,Probable,2,0,0
7/14/2020,Southwest,Confirmed,10,4,1
7/14/2020,Southwest,Probable,9,0,0
7/13/2020,Central,Confirmed,42,5,0
7/13/2020,Eastern,Confirmed,165,3,4
7/13/2020,Eastern,Probable,2,0,0
7/13/2020,Northern,Confirmed,41,9,3
7/13/2020,Northern,Probable,7,0,0
7/13/2020,Northwest,Confirmed,32,2,1
7/13/2020,Northwest,Probable,9,0,0
7/13/2020,Southwest,Confirmed,24,10,0
7/13/2020,Southwest,Probable,1,0,0
7/12/2020,Central,Confirmed,29,3,1
7/12/2020,Eastern,Confirmed,117,5,0
7/12/2020,Eastern,Probable,2,0,0
7/12/2020,Northern,Confirmed,20,4,0
7/12/2020,Northern,Probable,6,0,0
7/12/2020,Northwest,Confirmed,35,4,1
7/12/2020,Northwest,Probable,5,0,0
7/12/2020,Southwest,Confirmed,20,6,0
7/12/2020,Southwest,Probable,1,1,0
7/11/2020,Central,Confirmed,32,3,0
7/11/2020,Eastern,Confirmed,151,2,5
7/11/2020,Northern,Confirmed,46,4,2
7/11/2020,Northern,Probable,8,0,0
7/11/2020,Northwest,Confirmed,25,8,0
7/11/2020,Northwest,Probable,7,0,0
7/11/2020,Southwest,Confirmed,12,4,1
7/11/2020,Southwest,Probable,3,0,0
7/10/2020,Central,Confirmed,67,8,0
7/10/2020,Eastern,Confirmed,253,3,0
7/10/2020,Eastern,Probable,2,0,0
7/10/2020,Northern,Confirmed,72,4,0
7/10/2020,Northern,Probable,9,0,0
7/10/2020,Northwest,Confirmed,61,5,3
7/10/2020,Northwest,Probable,10,0,0
7/10/2020,Southwest,Confirmed,41,2,0
7/10/2020,Southwest,Probable,2,0,0
7/9/2020,Central,Confirmed,121,4,0
7/9/2020,Central,Probable,1,0,0
7/9/2020,Eastern,Confirmed,236,3,0
7/9/2020,Eastern,Probable,1,0,0
7/9/2020,Northern,Confirmed,91,4,2
7/9/2020,Northern,Probable,5,0,0
7/9/2020,Northwest,Confirmed,83,3,0
7/9/2020,Northwest,Probable,22,0,0
7/9/2020,Southwest,Confirmed,58,4,0
7/9/2020,Southwest,Probable,3,0,0
7/8/2020,Central,Confirmed,133,5,0
7/8/2020,Eastern,Confirmed,436,9,3
7/8/2020,Eastern,Probable,2,0,0
7/8/2020,Northern,Confirmed,128,10,2
7/8/2020,Northern,Probable,10,0,0
7/8/2020,Northwest,Confirmed,58,5,1
7/8/2020,Northwest,Probable,13,0,0
7/8/2020,Southwest,Confirmed,52,3,0
7/8/2020,Southwest,Probable,1,0,0
7/7/2020,Central,Confirmed,182,11,0
7/7/2020,Eastern,Confirmed,411,4,0
7/7/2020,Eastern,Probable,4,0,0
7/7/2020,Northern,Confirmed,95,9,0
7/7/2020,Northern,Probable,5,0,0
7/7/2020,Northwest,Confirmed,76,4,0
7/7/2020,Northwest,Probable,18,0,0
7/7/2020,Southwest,Confirmed,117,7,0
7/7/2020,Southwest,Probable,2,0,0
7/6/2020,Central,Confirmed,121,5,0
7/6/2020,Eastern,Confirmed,391,6,0
7/6/2020,Eastern,Probable,3,0,0
7/6/2020,Northern,Confirmed,144,8,1
7/6/2020,Northern,Probable,8,0,0
7/6/2020,Northwest,Confirmed,63,3,0
7/6/2020,Northwest,Probable,15,0,0
7/6/2020,Southwest,Confirmed,95,5,0
7/6/2020,Southwest,Probable,3,0,0
7/5/2020,Central,Confirmed,75,4,0
7/5/2020,Eastern,Confirmed,241,7,2
7/5/2020,Eastern,Probable,4,0,0
7/5/2020,Northern,Confirmed,84,10,1
7/5/2020,Northern,Probable,3,0,0
7/5/2020,Northwest,Confirmed,56,9,1
7/5/2020,Northwest,Probable,19,2,0
7/5/2020,Southwest,Confirmed,48,2,0
7/5/2020,Southwest,Probable,2,0,0
7/4/2020,Central,Confirmed,54,6,1
7/4/2020,Eastern,Confirmed,160,2,1
