Report Date,Health District,Ethnicity,Number of Cases,Number of Hospitalizations,Number of Deaths
6/12/2020,Southside,Not Reported,188,26,12
6/12/2020,Lord Fairfax,Hispanic or Latino,458,28,7
6/12/2020,Eastern Shore,Not Hispanic or Latino,926,85,37
6/12/2020,Portsmouth,Hispanic or Latino,13,2,0
6/12/2020,Fairfax,Not Reported,3219,109,92
6/12/2020,Richmond,Hispanic or Latino,572,54,2
6/12/2020,Chesapeake,Not Reported,122,7,0
6/12/2020,Arlington,Hispanic or Latino,1114,189,19
6/12/2020,West Piedmont,Not Hispanic or Latino,181,23,4
6/12/2020,Fairfax,Not Hispanic or Latino,3340,713,292
6/12/2020,Piedmont,Hispanic or Latino,30,0,1
6/12/2020,Crater,Not Hispanic or Latino,387,75,11
6/12/2020,Chickahominy,Not Hispanic or Latino,232,71,30
6/12/2020,New River,Not Hispanic or Latino,92,17,4
6/12/2020,Lord Fairfax,Not Reported,464,21,14
6/12/2020,Rappahannock,Not Reported,701,26,1
6/12/2020,Central Shenandoah,Not Reported,247,7,5
6/12/2020,Central Virginia,Not Hispanic or Latino,81,12,3
6/12/2020,Lenowisco,Not Hispanic or Latino,25,11,2
6/12/2020,Cumberland Plateau,Not Hispanic or Latino,21,2,0
6/12/2020,Western Tidewater,Not Hispanic or Latino,405,74,44
6/12/2020,New River,Not Reported,38,0,0
6/12/2020,Chesterfield,Not Reported,1413,23,17
6/12/2020,Chesterfield,Hispanic or Latino,429,21,1
6/12/2020,Hampton,Not Hispanic or Latino,159,33,4
6/12/2020,Chesapeake,Not Hispanic or Latino,448,83,15
6/12/2020,Peninsula,Hispanic or Latino,111,9,0
6/12/2020,Arlington,Not Reported,279,26,14
6/12/2020,Roanoke,Not Hispanic or Latino,82,10,9
6/12/2020,Lord Fairfax,Not Hispanic or Latino,781,90,40
6/12/2020,Eastern Shore,Hispanic or Latino,214,6,3
6/12/2020,Mount Rogers,Not Reported,31,1,0
6/12/2020,Three Rivers,Not Hispanic or Latino,327,32,7
6/12/2020,Thomas Jefferson,Not Reported,111,1,0
6/12/2020,Three Rivers,Not Reported,178,11,2
6/12/2020,Arlington,Not Hispanic or Latino,914,182,92
