,report_date,fips,locality,vdh_health_district,total_cases,hospitalizations,deaths
0,2020-08-26T00:00:00.000,51001,Accomack,Eastern Shore,1136,88,18
1,2020-08-26T00:00:00.000,51003,Albemarle,Thomas Jefferson,980,65,17
2,2020-08-26T00:00:00.000,51005,Alleghany,Alleghany,63,7,4
3,2020-08-26T00:00:00.000,51007,Amelia,Piedmont,94,13,3
4,2020-08-26T00:00:00.000,51009,Amherst,Central Virginia,269,9,1
5,2020-08-26T00:00:00.000,51011,Appomattox,Central Virginia,145,9,1
6,2020-08-26T00:00:00.000,51013,Arlington,Arlington,3435,452,138
7,2020-08-26T00:00:00.000,51015,Augusta,Central Shenandoah,349,18,4
8,2020-08-26T00:00:00.000,51017,Bath,Central Shenandoah,4,0,0
9,2020-08-26T00:00:00.000,51019,Bedford,Central Virginia,502,21,8
10,2020-08-26T00:00:00.000,51021,Bland,Mount Rogers,42,1,0
11,2020-08-26T00:00:00.000,51023,Botetourt,Alleghany,237,20,8
12,2020-08-26T00:00:00.000,51025,Brunswick,Southside,273,25,2
13,2020-08-26T00:00:00.000,51027,Buchanan,Cumberland Plateau,97,6,1
14,2020-08-26T00:00:00.000,51029,Buckingham,Piedmont,640,23,8
15,2020-08-26T00:00:00.000,51031,Campbell,Central Virginia,298,8,3
16,2020-08-26T00:00:00.000,51033,Caroline,Rappahannock,250,24,5
17,2020-08-26T00:00:00.000,51035,Carroll,Mount Rogers,384,33,19
18,2020-08-26T00:00:00.000,51036,Charles City,Chickahominy,66,18,5
19,2020-08-26T00:00:00.000,51037,Charlotte,Piedmont,64,4,0
20,2020-08-26T00:00:00.000,51041,Chesterfield,Chesterfield,4915,256,77
21,2020-08-26T00:00:00.000,51043,Clarke,Lord Fairfax,76,8,0
22,2020-08-26T00:00:00.000,51045,Craig,Alleghany,21,1,0
23,2020-08-26T00:00:00.000,51047,Culpeper,Rappahannock Rapidan,1090,84,13
24,2020-08-26T00:00:00.000,51049,Cumberland,Piedmont,96,8,0
25,2020-08-26T00:00:00.000,51051,Dickenson,Cumberland Plateau,58,6,1
26,2020-08-26T00:00:00.000,51053,Dinwiddie,Crater,267,33,8
27,2020-08-26T00:00:00.000,51057,Essex,Three Rivers,113,9,2
28,2020-08-26T00:00:00.000,51059,Fairfax,Fairfax,17878,2017,549
29,2020-08-26T00:00:00.000,51061,Fauquier,Rappahannock Rapidan,724,35,9
30,2020-08-26T00:00:00.000,51063,Floyd,New River,139,6,2
31,2020-08-26T00:00:00.000,51065,Fluvanna,Thomas Jefferson,219,36,9
32,2020-08-26T00:00:00.000,51067,Franklin County,West Piedmont,204,8,1
33,2020-08-26T00:00:00.000,51069,Frederick,Lord Fairfax,755,56,10
34,2020-08-26T00:00:00.000,51071,Giles,New River,37,2,0
