Report Date,Health District or Health District Group,Race and Ethnicity,Number of Cases,Number of Hospitalizations,Number of Deaths
6/16/2020,Chesterfield,Asian or Pacific Islander,24,1,0
6/16/2020,Crater,Asian or Pacific Islander,1,0,0
6/16/2020,Fairfax,Asian or Pacific Islander,1008,187,51
6/16/2020,Hampton,Asian or Pacific Islander,3,0,0
6/16/2020,Rappahannock Rapidan,Asian or Pacific Islander,3,1,0
6/16/2020,Mount Rogers,Asian or Pacific Islander,2,1,0
6/16/2020,New River,Asian or Pacific Islander,1,0,0
6/16/2020,Central Virginia,Asian or Pacific Islander,0,0,0
6/16/2020,Lord Fairfax,Asian or Pacific Islander,5,0,0
6/16/2020,Southside,Asian or Pacific Islander,0,0,0
6/16/2020,Alleghany,Asian or Pacific Islander,3,0,0
6/16/2020,Portsmouth,Asian or Pacific Islander,3,2,0
6/16/2020,Roanoke,Asian or Pacific Islander,1,0,0
6/16/2020,Richmond,Asian or Pacific Islander,6,2,0
6/16/2020,Thomas Jefferson,Asian or Pacific Islander,8,0,0
6/16/2020,Virginia Beach,Asian or Pacific Islander,50,12,1
6/16/2020,Henrico,Asian or Pacific Islander,103,5,3
6/16/2020,Piedmont,Asian or Pacific Islander,4,0,0
6/16/2020,Western Tidewater,Asian or Pacific Islander,5,1,0
6/16/2020,West Piedmont,Asian or Pacific Islander,9,1,1
6/16/2020,Chickahominy,Asian or Pacific Islander,1,1,0
6/16/2020,Peninsula,Asian or Pacific Islander,7,2,1
6/16/2020,Norfolk,Asian or Pacific Islander,12,1,0
6/16/2020,Arlington,Asian or Pacific Islander,117,21,11
6/16/2020,Loudoun,Asian or Pacific Islander,141,28,8
6/16/2020,Alexandria,Asian or Pacific Islander,74,6,1
6/16/2020,Rappahannock,Asian or Pacific Islander,28,6,0
6/16/2020,Chesapeake,Asian or Pacific Islander,18,1,1
6/16/2020,Cumberland Plateau and Lenowisco,Asian or Pacific Islander,0,0,0
6/16/2020,Central Shenandoah,Asian or Pacific Islander,17,2,0
6/16/2020,Prince William,Asian or Pacific Islander,219,38,10
6/16/2020,Pittsylvania-Danville,Asian or Pacific Islander,0,0,0
6/16/2020,Eastern Shore and Three Rivers,Asian or Pacific Islander,7,1,0
6/16/2020,Piedmont,Native American,1,0,0
6/16/2020,New River,Native American,0,0,0
6/16/2020,Central Shenandoah,Native American,1,1,0
6/16/2020,Eastern Shore and Three Rivers,Native American,1,0,0
6/16/2020,Fairfax,Native American,18,1,1
6/16/2020,Chesapeake,Native American,8,0,0
6/16/2020,Western Tidewater,Native American,0,0,0
6/16/2020,Portsmouth,Native American,1,0,0
6/16/2020,Richmond,Native American,0,0,0
6/16/2020,Chickahominy,Native American,1,1,0
6/16/2020,Thomas Jefferson,Native American,2,0,0
6/16/2020,Arlington,Native American,1,0,0
6/16/2020,Virginia Beach,Native American,0,0,0
6/16/2020,Peninsula,Native American,2,0,0
6/16/2020,Hampton,Native American,0,0,0
6/16/2020,West Piedmont,Native American,0,0,0
6/16/2020,"Cumberland Plateau, Lenowisco, and Mount Rogers",Native American,0,0,0
6/16/2020,Henrico,Native American,7,0,0
6/16/2020,Norfolk,Native American,0,0,0
6/16/2020,Prince William,Native American,10,1,0
6/16/2020,Central Virginia,Native American,0,0,0
6/16/2020,Chesterfield,Native American,2,0,0
6/16/2020,Rappahannock,Native American,3,0,0
6/16/2020,Loudoun,Native American,1,0,0
6/16/2020,Alexandria,Native American,3,0,0
6/16/2020,Alleghany and Roanoke,Native American,0,0,0
6/16/2020,Crater,Native American,2,0,0
6/16/2020,Rappahannock Rapidan,Native American,0,0,0
6/16/2020,Lord Fairfax,Native American,1,0,0
6/16/2020,Pittsylvania-Danville and Southside,Native American,0,0,0
6/16/2020,Southside,Not Reported,148,13,7
6/16/2020,Chesapeake,White,260,40,9
6/16/2020,Three Rivers,Other Race,5,1,0
6/16/2020,Central Virginia,Other Race,1,0,0
6/16/2020,Central Virginia,Two or more races,0,0,0
6/16/2020,Cumberland Plateau,White,23,2,0
6/16/2020,Lenowisco,Two or more races,0,0,0
6/16/2020,Western Tidewater,Black,275,43,21
6/16/2020,Western Tidewater,Latino,5,1,0
6/16/2020,Fairfax,Not Reported,2534,78,68
6/16/2020,Chesapeake,Not Reported,78,2,0
6/16/2020,Thomas Jefferson,White,278,32,13
6/16/2020,Cumberland Plateau,Two or more races,0,0,0
6/16/2020,Loudoun,Black,116,15,2
6/16/2020,Loudoun,Latino,819,82,6
6/16/2020,Alleghany,Latino,46,4,0
6/16/2020,Alleghany,Black,9,1,1
6/16/2020,Three Rivers,Black,176,15,3
6/16/2020,Three Rivers,Latino,69,2,0
6/16/2020,Central Shenandoah,Two or more races,8,1,0
6/16/2020,Hampton,Black,125,27,5
6/16/2020,Hampton,Latino,30,2,0
6/16/2020,Southside,Other Race,6,0,1
6/16/2020,Piedmont,Other Race,7,1,0
6/16/2020,Prince William,Other Race,200,12,0
6/16/2020,Richmond,Other Race,102,10,2
6/16/2020,Hampton,Two or more races,2,0,0
6/16/2020,Norfolk,Latino,122,13,0
6/16/2020,Lord Fairfax,Not Reported,261,5,6
6/16/2020,Norfolk,Black,309,54,5
6/16/2020,Central Virginia,Black,22,2,1
6/16/2020,Rappahannock,Latino,729,68,3
6/16/2020,Central Virginia,Latino,21,1,1
6/16/2020,Rappahannock,Black,230,35,4
6/16/2020,West Piedmont,White,120,9,3
6/16/2020,Rappahannock,Not Reported,682,23,0
6/16/2020,Central Shenandoah,Not Reported,181,5,0
6/16/2020,Chesterfield,Latino,464,22,1
6/16/2020,Chesterfield,Black,315,48,11
6/16/2020,Central Shenandoah,Latino,724,46,2
6/16/2020,Southside,Latino,2,1,0
6/16/2020,Southside,Black,68,17,7
6/16/2020,Central Shenandoah,Black,77,4,2
6/16/2020,Peninsula,White,289,73,22
6/16/2020,Rappahannock Rapidan,White,232,26,7
6/16/2020,New River,Latino,15,1,0
6/16/2020,New River,Black,7,1,0
6/16/2020,Roanoke,Other Race,0,0,0
6/16/2020,Three Rivers,Two or more races,3,0,0
6/16/2020,Prince William,White,706,115,66
