Report Date,Number of Cases,Number of Hospitalizations,Number of Deaths,Race and Ethnicity,Health District or Health District Group
7/14/2020,220,14,7,Not Reported,Southside
7/14/2020,384,53,12,White,Chesapeake
7/14/2020,7,3,0,Other Race,Three Rivers
7/14/2020,1,0,0,Other Race,Central Virginia
7/14/2020,0,0,0,Two or more races,Central Virginia
7/14/2020,91,6,0,White,Cumberland Plateau
7/14/2020,0,0,0,Two or more races,Lenowisco
7/14/2020,454,56,30,Black,Western Tidewater
7/14/2020,13,1,0,Latino,Western Tidewater
7/14/2020,2183,72,45,Not Reported,Fairfax
7/14/2020,269,2,0,Not Reported,Chesapeake
7/14/2020,465,36,20,White,Thomas Jefferson
7/14/2020,2,0,0,Two or more races,Cumberland Plateau
7/14/2020,148,20,3,Black,Loudoun
7/14/2020,1140,134,10,Latino,Loudoun
7/14/2020,77,5,0,Latino,Alleghany
7/14/2020,22,2,1,Black,Alleghany
7/14/2020,224,20,6,Black,Three Rivers
7/14/2020,135,4,0,Latino,Three Rivers
7/14/2020,10,1,0,Two or more races,Central Shenandoah
7/14/2020,233,28,4,Black,Hampton
7/14/2020,38,4,0,Latino,Hampton
7/14/2020,6,0,1,Other Race,Southside
7/14/2020,6,0,0,Other Race,Piedmont
7/14/2020,222,10,0,Other Race,Prince William
7/14/2020,97,8,2,Other Race,Richmond
7/14/2020,4,0,0,Two or more races,Hampton
7/14/2020,193,18,0,Latino,Norfolk
7/14/2020,276,3,5,Not Reported,Lord Fairfax
7/14/2020,798,87,10,Black,Norfolk
7/14/2020,28,2,1,Black,Central Virginia
7/14/2020,920,95,6,Latino,Rappahannock
7/14/2020,25,1,1,Latino,Central Virginia
7/14/2020,313,48,9,Black,Rappahannock
7/14/2020,205,18,4,White,West Piedmont
7/14/2020,765,24,0,Not Reported,Rappahannock
7/14/2020,202,4,1,Not Reported,Central Shenandoah
7/14/2020,726,39,3,Latino,Chesterfield
7/14/2020,450,62,21,Black,Chesterfield
7/14/2020,812,49,4,Latino,Central Shenandoah
7/14/2020,2,0,0,Latino,Southside
7/14/2020,134,27,9,Black,Southside
7/14/2020,101,9,4,Black,Central Shenandoah
7/14/2020,368,75,24,White,Peninsula
7/14/2020,381,33,11,White,Rappahannock Rapidan
7/14/2020,23,2,0,Latino,New River
7/14/2020,21,3,0,Black,New River
7/14/2020,3,0,0,Other Race,Roanoke
7/14/2020,3,0,0,Two or more races,Three Rivers
7/14/2020,945,133,77,White,Prince William
7/14/2020,0,0,0,Two or more races,West Piedmont
7/14/2020,47,0,0,Not Reported,New River
7/14/2020,1583,3,10,Not Reported,Chesterfield
7/14/2020,2,0,0,Two or more races,Crater
7/14/2020,74,17,3,White,Lenowisco
7/14/2020,243,38,32,White,Western Tidewater
7/14/2020,56,6,1,Other Race,Lord Fairfax
7/14/2020,1,1,0,Two or more races,Chickahominy
7/14/2020,816,129,75,Black,Henrico
7/14/2020,603,43,6,Latino,Henrico
7/14/2020,255,24,14,White,Alleghany
7/14/2020,350,36,10,Black,Peninsula
7/14/2020,198,13,0,Latino,Peninsula
7/14/2020,113,8,1,Other Race,Loudoun
7/14/2020,181,1,0,Not Reported,Arlington
7/14/2020,49,2,1,Not Reported,Mount Rogers
7/14/2020,85,12,4,White,Portsmouth
7/14/2020,2,0,0,Two or more races,Western Tidewater
7/14/2020,112,0,0,Not Reported,Thomas Jefferson
7/14/2020,175,3,0,Not Reported,Three Rivers
7/14/2020,620,132,23,Black,Richmond
7/14/2020,965,74,5,Latino,Richmond
7/14/2020,0,0,0,Latino,Cumberland Plateau
7/14/2020,51,4,0,Other Race,Rappahannock
7/14/2020,13,0,0,Black,Cumberland Plateau
7/14/2020,2031,1,2,Not Reported,Loudoun
7/14/2020,812,95,75,White,Loudoun
7/14/2020,544,1,0,Not Reported,Peninsula
7/14/2020,673,79,86,White,Henrico
7/14/2020,8,1,0,Two or more races,Chesterfield
7/14/2020,225,21,5,White,Richmond
7/14/2020,10,1,0,Two or more races,Chesapeake
7/14/2020,338,71,30,White,Chickahominy
7/14/2020,1,0,0,Latino,Lenowisco
7/14/2020,1,0,0,Black,Lenowisco
7/14/2020,1,0,0,Two or more races,Roanoke
7/14/2020,61,6,1,Latino,Piedmont
7/14/2020,373,50,6,Black,Piedmont
7/14/2020,555,63,52,White,Chesterfield
7/14/2020,11,0,0,Two or more races,Lord Fairfax
7/14/2020,96,9,3,White,Central Virginia
7/14/2020,591,70,30,White,Rappahannock
7/14/2020,216,18,6,White,New River
7/14/2020,344,34,10,White,Crater
7/14/2020,304,1,0,Not Reported,Alleghany
7/14/2020,17,2,0,Two or more races,Arlington
7/14/2020,13,2,1,Other Race,Portsmouth
7/14/2020,330,38,9,White,Piedmont
7/14/2020,2,0,0,Two or more races,Alleghany
7/14/2020,811,122,29,Black,Crater
7/14/2020,136,5,2,Latino,Crater
7/14/2020,4,2,0,Two or more races,Piedmont
7/14/2020,105,19,3,White,Pittsylvania-Danville
7/14/2020,23,2,0,Other Race,Rappahannock Rapidan
7/14/2020,541,2,0,Not Reported,Richmond
7/14/2020,8,0,0,Two or more races,Henrico
7/14/2020,70,9,0,Other Race,Henrico
7/14/2020,26,0,0,Two or more races,Loudoun
7/14/2020,13,1,0,Two or more races,Rappahannock Rapidan
7/14/2020,44,9,1,Latino,Portsmouth
7/14/2020,382,60,13,Black,Portsmouth
7/14/2020,230,2,0,Not Reported,Portsmouth
7/14/2020,5,1,0,Two or more races,Alexandria
7/14/2020,21,1,0,Other Race,Virginia Beach
7/14/2020,389,0,0,Not Reported,Norfolk
7/14/2020,12,1,0,Two or more races,Rappahannock
7/14/2020,231,68,31,Black,Arlington
7/14/2020,1280,207,23,Latino,Arlington
7/14/2020,176,15,14,White,Eastern Shore
7/14/2020,84,0,0,Not Reported,Eastern Shore
7/14/2020,100,5,8,White,Roanoke
7/14/2020,43,5,2,Other Race,Alexandria
7/14/2020,0,0,0,Other Race,Cumberland Plateau
7/14/2020,20,0,1,Other Race,Western Tidewater
7/14/2020,1,0,0,Other Race,Lenowisco
7/14/2020,0,0,0,Two or more races,Pittsylvania-Danville
7/14/2020,626,2,3,Not Reported,Henrico
7/14/2020,16,0,0,Other Race,Crater
7/14/2020,9,2,0,Other Race,Chickahominy
7/14/2020,44,7,2,Black,Roanoke
7/14/2020,187,2,0,Latino,Roanoke
7/14/2020,9,2,0,Two or more races,Peninsula
7/14/2020,36,1,0,Other Race,Peninsula
7/14/2020,14,0,0,Two or more races,Thomas Jefferson
7/14/2020,764,114,65,White,Arlington
7/14/2020,1,0,0,Two or more races,Norfolk
7/14/2020,466,50,33,White,Alexandria
7/14/2020,215,0,0,Not Reported,Hampton
7/14/2020,556,73,33,White,Mount Rogers
7/14/2020,146,6,0,Not Reported,Alexandria
