,report_date,health_district,sex,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-08-03T00:00:00.000,Alexandria,Female,1466,125,32
1,2020-08-03T00:00:00.000,Alexandria,Male,1370,144,27
2,2020-08-03T00:00:00.000,Alexandria,Not Reported,8,0,0
3,2020-08-03T00:00:00.000,Alleghany,Female,467,14,12
4,2020-08-03T00:00:00.000,Alleghany,Male,396,25,8
5,2020-08-03T00:00:00.000,Alleghany,Not Reported,8,0,0
6,2020-08-03T00:00:00.000,Arlington,Female,1451,194,67
7,2020-08-03T00:00:00.000,Arlington,Male,1489,242,69
8,2020-08-03T00:00:00.000,Arlington,Not Reported,5,0,0
9,2020-08-03T00:00:00.000,Central Shenandoah,Female,1445,105,26
10,2020-08-03T00:00:00.000,Central Shenandoah,Male,1235,101,27
11,2020-08-03T00:00:00.000,Central Shenandoah,Not Reported,1,0,0
12,2020-08-03T00:00:00.000,Central Virginia,Female,586,20,3
13,2020-08-03T00:00:00.000,Central Virginia,Male,532,36,7
14,2020-08-03T00:00:00.000,Central Virginia,Not Reported,4,0,0
15,2020-08-03T00:00:00.000,Chesapeake,Female,1456,111,13
16,2020-08-03T00:00:00.000,Chesapeake,Male,1158,102,16
17,2020-08-03T00:00:00.000,Chesapeake,Not Reported,3,0,0
18,2020-08-03T00:00:00.000,Chesterfield,Female,2173,120,46
19,2020-08-03T00:00:00.000,Chesterfield,Male,2127,125,52
20,2020-08-03T00:00:00.000,Chesterfield,Not Reported,110,0,2
21,2020-08-03T00:00:00.000,Chickahominy,Female,500,64,20
22,2020-08-03T00:00:00.000,Chickahominy,Male,412,65,24
23,2020-08-03T00:00:00.000,Chickahominy,Not Reported,5,0,0
24,2020-08-03T00:00:00.000,Crater,Female,1017,110,34
25,2020-08-03T00:00:00.000,Crater,Male,1162,98,28
26,2020-08-03T00:00:00.000,Crater,Not Reported,23,1,0
27,2020-08-03T00:00:00.000,Cumberland Plateau,Female,145,8,0
28,2020-08-03T00:00:00.000,Cumberland Plateau,Male,124,13,1
29,2020-08-03T00:00:00.000,Cumberland Plateau,Not Reported,0,0,0
30,2020-08-03T00:00:00.000,Eastern Shore,Female,688,64,23
31,2020-08-03T00:00:00.000,Eastern Shore,Male,677,59,20
32,2020-08-03T00:00:00.000,Eastern Shore,Not Reported,9,0,0
33,2020-08-03T00:00:00.000,Fairfax,Female,8175,816,262
34,2020-08-03T00:00:00.000,Fairfax,Male,7786,1107,273
35,2020-08-03T00:00:00.000,Fairfax,Not Reported,87,1,1
36,2020-08-03T00:00:00.000,Hampton,Female,600,17,2
37,2020-08-03T00:00:00.000,Hampton,Male,467,32,3
38,2020-08-03T00:00:00.000,Hampton,Not Reported,3,0,0
39,2020-08-03T00:00:00.000,Henrico,Female,1916,152,97
40,2020-08-03T00:00:00.000,Henrico,Male,1718,165,85
41,2020-08-03T00:00:00.000,Henrico,Not Reported,20,0,0
42,2020-08-03T00:00:00.000,Lenowisco,Female,137,15,1
43,2020-08-03T00:00:00.000,Lenowisco,Male,130,17,6
44,2020-08-03T00:00:00.000,Lenowisco,Not Reported,0,0,0
45,2020-08-03T00:00:00.000,Lord Fairfax,Female,1315,102,47
46,2020-08-03T00:00:00.000,Lord Fairfax,Male,1170,114,38
47,2020-08-03T00:00:00.000,Lord Fairfax,Not Reported,8,0,0
48,2020-08-03T00:00:00.000,Loudoun,Female,2527,149,70
49,2020-08-03T00:00:00.000,Loudoun,Male,2505,190,42
50,2020-08-03T00:00:00.000,Loudoun,Not Reported,27,0,0
51,2020-08-03T00:00:00.000,Mount Rogers,Female,669,39,17
52,2020-08-03T00:00:00.000,Mount Rogers,Male,597,80,33
53,2020-08-03T00:00:00.000,Mount Rogers,Not Reported,4,0,0
54,2020-08-03T00:00:00.000,New River,Female,204,9,2
55,2020-08-03T00:00:00.000,New River,Male,244,23,5
56,2020-08-03T00:00:00.000,New River,Not Reported,4,0,0
57,2020-08-03T00:00:00.000,Norfolk,Female,1765,86,12
58,2020-08-03T00:00:00.000,Norfolk,Male,1578,87,14
59,2020-08-03T00:00:00.000,Norfolk,Not Reported,2,0,0
60,2020-08-03T00:00:00.000,Peninsula,Female,1435,78,25
61,2020-08-03T00:00:00.000,Peninsula,Male,1257,83,16
62,2020-08-03T00:00:00.000,Peninsula,Not Reported,12,0,0
63,2020-08-03T00:00:00.000,Piedmont,Female,421,49,7
64,2020-08-03T00:00:00.000,Piedmont,Male,948,67,20
65,2020-08-03T00:00:00.000,Piedmont,Not Reported,4,0,0
66,2020-08-03T00:00:00.000,Pittsylvania-Danville,Female,417,41,7
67,2020-08-03T00:00:00.000,Pittsylvania-Danville,Male,297,24,2
68,2020-08-03T00:00:00.000,Pittsylvania-Danville,Not Reported,5,0,0
69,2020-08-03T00:00:00.000,Portsmouth,Female,828,70,12
70,2020-08-03T00:00:00.000,Portsmouth,Male,709,55,12
71,2020-08-03T00:00:00.000,Portsmouth,Not Reported,3,0,0
72,2020-08-03T00:00:00.000,Prince William,Female,5580,420,86
73,2020-08-03T00:00:00.000,Prince William,Male,5447,534,114
74,2020-08-03T00:00:00.000,Prince William,Not Reported,73,1,0
75,2020-08-03T00:00:00.000,Rappahannock,Female,1757,133,21
76,2020-08-03T00:00:00.000,Rappahannock,Male,1555,155,30
77,2020-08-03T00:00:00.000,Rappahannock,Not Reported,11,1,0
78,2020-08-03T00:00:00.000,Rappahannock Rapidan,Female,938,53,10
79,2020-08-03T00:00:00.000,Rappahannock Rapidan,Male,910,79,16
80,2020-08-03T00:00:00.000,Rappahannock Rapidan,Not Reported,4,0,0
81,2020-08-03T00:00:00.000,Richmond,Female,1489,134,12
82,2020-08-03T00:00:00.000,Richmond,Male,1460,147,25
83,2020-08-03T00:00:00.000,Richmond,Not Reported,43,2,2
84,2020-08-03T00:00:00.000,Roanoke,Female,475,9,7
85,2020-08-03T00:00:00.000,Roanoke,Male,419,10,4
86,2020-08-03T00:00:00.000,Roanoke,Not Reported,15,0,0
87,2020-08-03T00:00:00.000,Southside,Female,345,31,19
88,2020-08-03T00:00:00.000,Southside,Male,313,34,15
89,2020-08-03T00:00:00.000,Southside,Not Reported,4,0,0
90,2020-08-03T00:00:00.000,Thomas Jefferson,Female,955,71,21
91,2020-08-03T00:00:00.000,Thomas Jefferson,Male,836,66,16
92,2020-08-03T00:00:00.000,Thomas Jefferson,Not Reported,2,0,0
93,2020-08-03T00:00:00.000,Three Rivers,Female,346,39,9
94,2020-08-03T00:00:00.000,Three Rivers,Male,625,29,6
95,2020-08-03T00:00:00.000,Three Rivers,Not Reported,21,0,0
96,2020-08-03T00:00:00.000,Virginia Beach,Female,2395,102,22
97,2020-08-03T00:00:00.000,Virginia Beach,Male,2018,106,25
98,2020-08-03T00:00:00.000,Virginia Beach,Not Reported,14,0,0
99,2020-08-03T00:00:00.000,Western Tidewater,Female,1010,60,35
100,2020-08-03T00:00:00.000,Western Tidewater,Male,842,72,42
101,2020-08-03T00:00:00.000,Western Tidewater,Not Reported,1,0,0
102,2020-08-03T00:00:00.000,West Piedmont,Female,540,62,5
103,2020-08-03T00:00:00.000,West Piedmont,Male,413,54,8
104,2020-08-03T00:00:00.000,West Piedmont,Not Reported,4,0,0
105,2020-08-02T00:00:00.000,Alexandria,Female,1451,125,32
106,2020-08-02T00:00:00.000,Alexandria,Male,1361,143,27
107,2020-08-02T00:00:00.000,Alexandria,Not Reported,8,0,0
108,2020-08-02T00:00:00.000,Alleghany,Female,459,14,12
109,2020-08-02T00:00:00.000,Alleghany,Male,390,25,8
110,2020-08-02T00:00:00.000,Alleghany,Not Reported,8,0,0
111,2020-08-02T00:00:00.000,Arlington,Female,1440,194,67
112,2020-08-02T00:00:00.000,Arlington,Male,1480,241,69
113,2020-08-02T00:00:00.000,Arlington,Not Reported,5,0,0
114,2020-08-02T00:00:00.000,Central Shenandoah,Female,1437,105,26
115,2020-08-02T00:00:00.000,Central Shenandoah,Male,1226,101,27
116,2020-08-02T00:00:00.000,Central Shenandoah,Not Reported,1,0,0
117,2020-08-02T00:00:00.000,Central Virginia,Female,571,16,3
118,2020-08-02T00:00:00.000,Central Virginia,Male,518,28,7
119,2020-08-02T00:00:00.000,Central Virginia,Not Reported,4,0,0
120,2020-08-02T00:00:00.000,Chesapeake,Female,1421,110,13
121,2020-08-02T00:00:00.000,Chesapeake,Male,1114,96,16
122,2020-08-02T00:00:00.000,Chesapeake,Not Reported,3,0,0
123,2020-08-02T00:00:00.000,Chesterfield,Female,2131,119,46
124,2020-08-02T00:00:00.000,Chesterfield,Male,2099,124,52
125,2020-08-02T00:00:00.000,Chesterfield,Not Reported,101,0,2
126,2020-08-02T00:00:00.000,Chickahominy,Female,497,64,20
127,2020-08-02T00:00:00.000,Chickahominy,Male,407,65,24
128,2020-08-02T00:00:00.000,Chickahominy,Not Reported,4,0,0
129,2020-08-02T00:00:00.000,Crater,Female,994,109,34
130,2020-08-02T00:00:00.000,Crater,Male,1140,96,27
131,2020-08-02T00:00:00.000,Crater,Not Reported,23,1,0
132,2020-08-02T00:00:00.000,Cumberland Plateau,Female,135,7,0
133,2020-08-02T00:00:00.000,Cumberland Plateau,Male,117,12,1
134,2020-08-02T00:00:00.000,Cumberland Plateau,Not Reported,0,0,0
135,2020-08-02T00:00:00.000,Eastern Shore,Female,687,64,23
136,2020-08-02T00:00:00.000,Eastern Shore,Male,675,59,20
137,2020-08-02T00:00:00.000,Eastern Shore,Not Reported,9,0,0
138,2020-08-02T00:00:00.000,Fairfax,Female,8103,816,262
139,2020-08-02T00:00:00.000,Fairfax,Male,7718,1106,273
140,2020-08-02T00:00:00.000,Fairfax,Not Reported,87,1,1
141,2020-08-02T00:00:00.000,Hampton,Female,588,17,2
142,2020-08-02T00:00:00.000,Hampton,Male,457,32,3
143,2020-08-02T00:00:00.000,Hampton,Not Reported,3,0,0
144,2020-08-02T00:00:00.000,Henrico,Female,1889,149,97
145,2020-08-02T00:00:00.000,Henrico,Male,1701,163,85
146,2020-08-02T00:00:00.000,Henrico,Not Reported,19,0,0
147,2020-08-02T00:00:00.000,Lenowisco,Female,126,15,1
148,2020-08-02T00:00:00.000,Lenowisco,Male,120,17,6
149,2020-08-02T00:00:00.000,Lenowisco,Not Reported,0,0,0
150,2020-08-02T00:00:00.000,Lord Fairfax,Female,1311,102,47
151,2020-08-02T00:00:00.000,Lord Fairfax,Male,1165,114,39
152,2020-08-02T00:00:00.000,Lord Fairfax,Not Reported,8,0,0
153,2020-08-02T00:00:00.000,Loudoun,Female,2517,148,70
154,2020-08-02T00:00:00.000,Loudoun,Male,2490,188,42
155,2020-08-02T00:00:00.000,Loudoun,Not Reported,27,0,0
156,2020-08-02T00:00:00.000,Mount Rogers,Female,655,38,17
157,2020-08-02T00:00:00.000,Mount Rogers,Male,589,79,33
158,2020-08-02T00:00:00.000,Mount Rogers,Not Reported,4,0,0
159,2020-08-02T00:00:00.000,New River,Female,201,9,2
160,2020-08-02T00:00:00.000,New River,Male,234,21,5
161,2020-08-02T00:00:00.000,New River,Not Reported,5,0,0
162,2020-08-02T00:00:00.000,Norfolk,Female,1703,85,12
163,2020-08-02T00:00:00.000,Norfolk,Male,1505,87,14
164,2020-08-02T00:00:00.000,Norfolk,Not Reported,2,0,0
165,2020-08-02T00:00:00.000,Peninsula,Female,1408,78,25
166,2020-08-02T00:00:00.000,Peninsula,Male,1225,83,16
167,2020-08-02T00:00:00.000,Peninsula,Not Reported,12,0,0
168,2020-08-02T00:00:00.000,Piedmont,Female,421,49,7
169,2020-08-02T00:00:00.000,Piedmont,Male,942,67,20
170,2020-08-02T00:00:00.000,Piedmont,Not Reported,5,0,0
171,2020-08-02T00:00:00.000,Pittsylvania-Danville,Female,399,40,7
172,2020-08-02T00:00:00.000,Pittsylvania-Danville,Male,280,23,2
173,2020-08-02T00:00:00.000,Pittsylvania-Danville,Not Reported,5,0,0
174,2020-08-02T00:00:00.000,Portsmouth,Female,828,70,12
175,2020-08-02T00:00:00.000,Portsmouth,Male,708,55,12
176,2020-08-02T00:00:00.000,Portsmouth,Not Reported,3,0,0
177,2020-08-02T00:00:00.000,Prince William,Female,5524,420,86
178,2020-08-02T00:00:00.000,Prince William,Male,5415,530,113
